model,classifier,features,auroc_mean,auroc_std
llava_mistral,LogisticRegression,Scalar Only,0.6163244437650375,0.016158880383936015
llava_mistral,LogisticRegression,V+L+A,0.7668378211165646,0.009355249706100466
llava_mistral,LogisticRegression,V+L+A+Scalar,0.7685838108505757,0.010904000077105304
llava_mistral,XGBoost,Scalar Only,0.6581083294764489,0.011818275511866578
llava_mistral,XGBoost,V+L+A,0.8740193508025322,0.012589730475568632
llava_mistral,XGBoost,V+L+A+Scalar,0.8824517489346988,0.013278318142013298
llava_mistral,LightGBM,Scalar Only,0.6616994556230325,0.015340404752660103
llava_mistral,LightGBM,V+L+A,0.8791479146335236,0.012060276419474308
llava_mistral,LightGBM,V+L+A+Scalar,0.8891784096882013,0.01161698168508423
qwen_vl,LogisticRegression,Scalar Only,0.7238197353653835,0.01658373039159916
qwen_vl,LogisticRegression,V+L+A,0.8273924346831002,0.009963542425276879
qwen_vl,LogisticRegression,V+L+A+Scalar,0.8275326155162803,0.009981270841186404
qwen_vl,XGBoost,Scalar Only,0.7731078447556806,0.010305617426210893
qwen_vl,XGBoost,V+L+A,0.8862733570624419,0.008414626661717552
qwen_vl,XGBoost,V+L+A+Scalar,0.895186934182304,0.00618869235470063
qwen_vl,LightGBM,Scalar Only,0.7775123882958976,0.010599539107776754
qwen_vl,LightGBM,V+L+A,0.890969404762566,0.0055516884164907255
qwen_vl,LightGBM,V+L+A+Scalar,0.8963858362100957,0.005686332190047295
POOLED,LogisticRegression,Scalar Only,0.6325169784631453,0.015022769966439389
POOLED,LogisticRegression,V+L+A,0.791707826547983,0.010284910361034733
POOLED,LogisticRegression,V+L+A+Scalar,0.7922529554605902,0.01051313300320148
POOLED,XGBoost,Scalar Only,0.6715438215092877,0.007760043061134218
POOLED,XGBoost,V+L+A,0.8704169130829067,0.009537100981521184
POOLED,XGBoost,V+L+A+Scalar,0.8828152543716012,0.008442559189717137
POOLED,LightGBM,Scalar Only,0.6729871619655542,0.008386004067799168
POOLED,LightGBM,V+L+A,0.8729271881852405,0.009715371899964576
POOLED,LightGBM,V+L+A+Scalar,0.8838391449783618,0.008386794897943703
