2026-07-11 00:40:56 | INFO     | src.utils.seed_control | Global seed set to 42
2026-07-11 00:40:56 | INFO     | src.utils.seed_control | NumPy seed set.
2026-07-11 00:40:56 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-07-11 00:40:59 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-07-11 00:40:59 | INFO     | __main__ | === Matched Intervention Run: model=llava_mistral ===
2026-07-11 00:40:59 | INFO     | __main__ | Loading decomposition results from results/rebuttal_exp2_sensitivity/strong/decomposition/llava_mistral/vizwiz_chunk_0.jsonl
2026-07-11 00:40:59 | INFO     | __main__ | Loaded 1080 decomposition results
2026-07-11 00:40:59 | INFO     | __main__ | Loading model: llava_mistral
2026-07-11 00:40:59 | INFO     | src.models.llava_mistral | Loading LLaVA-1.6-Mistral model: /home/models/llava-v1.6-mistral-7b-hf
2026-07-11 00:40:59 | INFO     | src.models.llava_mistral | Pinning model to cuda:0
2026-07-11 00:41:03 | INFO     | src.models.llava_mistral | LLaVA-1.6-Mistral loaded. model=/home/models/llava-v1.6-mistral-7b-hf, device=cuda:0, dtype=float16
2026-07-11 00:41:03 | INFO     | __main__ | Model loaded.
2026-07-11 00:41:03 | INFO     | experiment.intervention_llava_mistral | ExperimentLogger initialized: results/rebuttal_exp2_sensitivity/strong/intervention/llava_mistral/vizwiz_chunk_0.jsonl (experiment='intervention_llava_mistral')
2026-07-11 00:41:03 | INFO     | __main__ | Processing sample 0/1080...
2026-07-11 00:42:02 | INFO     | __main__ | Processing sample 50/1080...
2026-07-11 00:42:59 | INFO     | __main__ | Processing sample 100/1080...
2026-07-11 00:44:00 | INFO     | __main__ | Processing sample 150/1080...
2026-07-11 00:44:59 | INFO     | __main__ | Processing sample 200/1080...
2026-07-11 00:45:57 | INFO     | __main__ | Processing sample 250/1080...
2026-07-11 00:47:00 | INFO     | __main__ | Processing sample 300/1080...
2026-07-11 00:47:57 | INFO     | __main__ | Processing sample 350/1080...
2026-07-11 00:48:56 | INFO     | __main__ | Processing sample 400/1080...
2026-07-11 00:49:54 | INFO     | __main__ | Processing sample 450/1080...
2026-07-11 00:50:52 | INFO     | __main__ | Processing sample 500/1080...
2026-07-11 00:51:50 | INFO     | __main__ | Processing sample 550/1080...
2026-07-11 00:52:49 | INFO     | __main__ | Processing sample 600/1080...
2026-07-11 00:53:47 | INFO     | __main__ | Processing sample 650/1080...
2026-07-11 00:54:44 | INFO     | __main__ | Processing sample 700/1080...
2026-07-11 00:55:42 | INFO     | __main__ | Processing sample 750/1080...
2026-07-11 00:56:40 | INFO     | __main__ | Processing sample 800/1080...
2026-07-11 00:57:38 | INFO     | __main__ | Processing sample 850/1080...
2026-07-11 00:58:36 | INFO     | __main__ | Processing sample 900/1080...
2026-07-11 00:59:33 | INFO     | __main__ | Processing sample 950/1080...
2026-07-11 01:00:31 | INFO     | __main__ | Processing sample 1000/1080...
2026-07-11 01:01:32 | INFO     | __main__ | Processing sample 1050/1080...
2026-07-11 01:02:07 | INFO     | experiment.intervention_llava_mistral | Experiment summary: {
  "model": "llava_mistral",
  "decomp_source": "results/rebuttal_exp2_sensitivity/strong/decomposition/llava_mistral/vizwiz_chunk_0.jsonl",
  "n_samples": 1080
}
2026-07-11 01:02:07 | INFO     | experiment.intervention_llava_mistral | Summary saved to results/rebuttal_exp2_sensitivity/strong/intervention/llava_mistral/vizwiz_chunk_0.summary.json
2026-07-11 01:02:07 | INFO     | __main__ | Done. Results saved to: results/rebuttal_exp2_sensitivity/strong/intervention/llava_mistral/vizwiz_chunk_0.jsonl
