2026-07-10 01:53:02 | INFO     | src.utils.seed_control | Global seed set to 42
2026-07-10 01:53:02 | INFO     | src.utils.seed_control | NumPy seed set.
2026-07-10 01:53:02 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-07-10 01:53:05 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-07-10 01:53:05 | INFO     | __main__ | === Matched Intervention Run: model=qwen_vl ===
2026-07-10 01:53:05 | INFO     | __main__ | Loading decomposition results from results/rebuttal_exp2_sensitivity/strong/decomposition/qwen_vl/hallusionbench.jsonl
2026-07-10 17:50:42 | INFO     | src.utils.seed_control | Global seed set to 42
2026-07-10 17:50:42 | INFO     | src.utils.seed_control | NumPy seed set.
2026-07-10 17:50:42 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-07-10 17:50:45 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-07-10 17:50:45 | INFO     | __main__ | === Matched Intervention Run: model=qwen_vl ===
2026-07-10 17:50:45 | INFO     | __main__ | Loading decomposition results from results/rebuttal_exp2_sensitivity/strong/decomposition/qwen_vl/hallusionbench.jsonl
2026-07-10 17:50:45 | INFO     | __main__ | Loaded 951 decomposition results
2026-07-10 17:50:45 | INFO     | __main__ | Loading model: qwen_vl
2026-07-10 17:50:45 | INFO     | src.models.qwen_vl | Loading Qwen3-VL model: /home/models/Qwen3-VL-8B-Instruct
2026-07-10 17:50:45 | INFO     | src.models.qwen_vl | Pinning model to cuda:1
2026-07-10 17:50:50 | INFO     | src.models.qwen_vl | Qwen3-VL loaded. model=/home/models/Qwen3-VL-8B-Instruct, device=cuda:1, dtype=bfloat16
2026-07-10 17:50:50 | INFO     | __main__ | Model loaded.
2026-07-10 17:50:50 | INFO     | experiment.intervention_qwen_vl | ExperimentLogger initialized: results/rebuttal_exp2_sensitivity/strong/intervention/qwen_vl/hallusionbench.jsonl (experiment='intervention_qwen_vl')
2026-07-10 17:50:50 | INFO     | __main__ | Processing sample 0/951...
2026-07-10 17:51:30 | INFO     | __main__ | Processing sample 50/951...
2026-07-10 17:52:07 | INFO     | __main__ | Processing sample 100/951...
2026-07-10 17:54:08 | INFO     | __main__ | Processing sample 150/951...
2026-07-10 17:54:42 | INFO     | __main__ | Processing sample 200/951...
2026-07-10 17:55:10 | INFO     | __main__ | Processing sample 250/951...
2026-07-10 17:56:01 | INFO     | __main__ | Processing sample 300/951...
2026-07-10 17:56:19 | INFO     | __main__ | Processing sample 350/951...
2026-07-10 17:56:48 | INFO     | __main__ | Processing sample 400/951...
2026-07-10 17:57:30 | INFO     | __main__ | Processing sample 450/951...
2026-07-10 17:57:47 | INFO     | __main__ | Processing sample 500/951...
2026-07-10 17:58:35 | INFO     | __main__ | Processing sample 550/951...
2026-07-10 17:59:24 | INFO     | __main__ | Processing sample 600/951...
2026-07-10 18:00:09 | INFO     | __main__ | Processing sample 650/951...
2026-07-10 18:00:27 | INFO     | __main__ | Processing sample 700/951...
2026-07-10 18:00:44 | INFO     | __main__ | Processing sample 750/951...
2026-07-10 18:01:09 | INFO     | __main__ | Processing sample 800/951...
2026-07-10 18:01:50 | INFO     | __main__ | Processing sample 850/951...
2026-07-10 18:03:08 | INFO     | __main__ | Processing sample 900/951...
2026-07-10 18:04:24 | INFO     | __main__ | Processing sample 950/951...
2026-07-10 18:04:25 | INFO     | experiment.intervention_qwen_vl | Experiment summary: {
  "model": "qwen_vl",
  "decomp_source": "results/rebuttal_exp2_sensitivity/strong/decomposition/qwen_vl/hallusionbench.jsonl",
  "n_samples": 951
}
2026-07-10 18:04:25 | INFO     | experiment.intervention_qwen_vl | Summary saved to results/rebuttal_exp2_sensitivity/strong/intervention/qwen_vl/hallusionbench.summary.json
2026-07-10 18:04:25 | INFO     | __main__ | Done. Results saved to: results/rebuttal_exp2_sensitivity/strong/intervention/qwen_vl/hallusionbench.jsonl
