model,classifier,features,auroc_mean,auroc_std
llava_mistral,LogisticRegression,Scalar Only,0.6163244437650375,0.016158880383936015
llava_mistral,LogisticRegression,V+L+A,0.742224826636791,0.009548011720479506
llava_mistral,LogisticRegression,V+L+A+Scalar,0.7551736795959278,0.01109622437843813
llava_mistral,XGBoost,Scalar Only,0.6581083294764489,0.011818275511866578
llava_mistral,XGBoost,V+L+A,0.8553007397345109,0.01025321364822956
llava_mistral,XGBoost,V+L+A+Scalar,0.867164547449668,0.010594487207958674
llava_mistral,LightGBM,Scalar Only,0.6616994556230325,0.015340404752660103
llava_mistral,LightGBM,V+L+A,0.8609183445391496,0.008968955074469194
llava_mistral,LightGBM,V+L+A+Scalar,0.8738681140441857,0.008032281456914734
qwen_vl,LogisticRegression,Scalar Only,0.724966929105111,0.01332425174049464
qwen_vl,LogisticRegression,V+L+A,0.7851794672444232,0.006865014749393591
qwen_vl,LogisticRegression,V+L+A+Scalar,0.7898228887818755,0.005979692176556266
qwen_vl,XGBoost,Scalar Only,0.7711497740870741,0.013706028465535711
qwen_vl,XGBoost,V+L+A,0.8645350950313386,0.013039208820999093
qwen_vl,XGBoost,V+L+A+Scalar,0.8712589318096384,0.012221639415923972
qwen_vl,LightGBM,Scalar Only,0.7734425534252198,0.009647766442215445
qwen_vl,LightGBM,V+L+A,0.8699166403013987,0.011072722821051316
qwen_vl,LightGBM,V+L+A+Scalar,0.873938379415999,0.011173020016141257
POOLED,LogisticRegression,Scalar Only,0.6324544867270632,0.01050994325542149
POOLED,LogisticRegression,V+L+A,0.7644471538546909,0.012392774391758198
POOLED,LogisticRegression,V+L+A+Scalar,0.7706444247278045,0.012898877396688765
POOLED,XGBoost,Scalar Only,0.674747737672962,0.005222969351805359
POOLED,XGBoost,V+L+A,0.8513781434718718,0.007667801924455174
POOLED,XGBoost,V+L+A+Scalar,0.8663002052391888,0.011050036389040544
POOLED,LightGBM,Scalar Only,0.6747658458273611,0.006539894358118935
POOLED,LightGBM,V+L+A,0.8537478559492289,0.008988614169781535
POOLED,LightGBM,V+L+A+Scalar,0.8664429530051821,0.009055071294985366
