2026-07-10 23:01:21 | INFO     | src.utils.seed_control | Global seed set to 42
2026-07-10 23:01:21 | INFO     | src.utils.seed_control | NumPy seed set.
2026-07-10 23:01:21 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-07-10 23:01:23 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-07-10 23:01:23 | INFO     | __main__ | === Matched Intervention Run: model=llava_mistral ===
2026-07-10 23:01:23 | INFO     | __main__ | Loading decomposition results from results/rebuttal_exp2_sensitivity/weak/decomposition/llava_mistral/vizwiz_chunk_0.jsonl
2026-07-10 23:01:24 | INFO     | __main__ | Loaded 1080 decomposition results
2026-07-10 23:01:24 | INFO     | __main__ | Loading model: llava_mistral
2026-07-10 23:01:24 | INFO     | src.models.llava_mistral | Loading LLaVA-1.6-Mistral model: /home/models/llava-v1.6-mistral-7b-hf
2026-07-10 23:01:24 | INFO     | src.models.llava_mistral | Pinning model to cuda:0
2026-07-10 23:01:28 | INFO     | src.models.llava_mistral | LLaVA-1.6-Mistral loaded. model=/home/models/llava-v1.6-mistral-7b-hf, device=cuda:0, dtype=float16
2026-07-10 23:01:28 | INFO     | __main__ | Model loaded.
2026-07-10 23:01:28 | INFO     | experiment.intervention_llava_mistral | ExperimentLogger initialized: results/rebuttal_exp2_sensitivity/weak/intervention/llava_mistral/vizwiz_chunk_0.jsonl (experiment='intervention_llava_mistral')
2026-07-10 23:01:28 | INFO     | __main__ | Processing sample 0/1080...
2026-07-10 23:02:26 | INFO     | __main__ | Processing sample 50/1080...
2026-07-10 23:03:23 | INFO     | __main__ | Processing sample 100/1080...
2026-07-10 23:04:25 | INFO     | __main__ | Processing sample 150/1080...
2026-07-10 23:05:23 | INFO     | __main__ | Processing sample 200/1080...
2026-07-10 23:06:21 | INFO     | __main__ | Processing sample 250/1080...
2026-07-10 23:07:24 | INFO     | __main__ | Processing sample 300/1080...
2026-07-10 23:08:22 | INFO     | __main__ | Processing sample 350/1080...
2026-07-10 23:09:20 | INFO     | __main__ | Processing sample 400/1080...
2026-07-10 23:10:18 | INFO     | __main__ | Processing sample 450/1080...
2026-07-10 23:11:16 | INFO     | __main__ | Processing sample 500/1080...
2026-07-10 23:12:14 | INFO     | __main__ | Processing sample 550/1080...
2026-07-10 23:13:13 | INFO     | __main__ | Processing sample 600/1080...
2026-07-10 23:14:11 | INFO     | __main__ | Processing sample 650/1080...
2026-07-10 23:15:09 | INFO     | __main__ | Processing sample 700/1080...
2026-07-10 23:16:07 | INFO     | __main__ | Processing sample 750/1080...
2026-07-10 23:17:05 | INFO     | __main__ | Processing sample 800/1080...
2026-07-10 23:18:03 | INFO     | __main__ | Processing sample 850/1080...
2026-07-10 23:19:01 | INFO     | __main__ | Processing sample 900/1080...
2026-07-10 23:19:58 | INFO     | __main__ | Processing sample 950/1080...
2026-07-10 23:20:56 | INFO     | __main__ | Processing sample 1000/1080...
2026-07-10 23:21:57 | INFO     | __main__ | Processing sample 1050/1080...
2026-07-10 23:22:32 | INFO     | experiment.intervention_llava_mistral | Experiment summary: {
  "model": "llava_mistral",
  "decomp_source": "results/rebuttal_exp2_sensitivity/weak/decomposition/llava_mistral/vizwiz_chunk_0.jsonl",
  "n_samples": 1080
}
2026-07-10 23:22:32 | INFO     | experiment.intervention_llava_mistral | Summary saved to results/rebuttal_exp2_sensitivity/weak/intervention/llava_mistral/vizwiz_chunk_0.summary.json
2026-07-10 23:22:32 | INFO     | __main__ | Done. Results saved to: results/rebuttal_exp2_sensitivity/weak/intervention/llava_mistral/vizwiz_chunk_0.jsonl
