2026-07-10 19:10:55 | INFO     | src.utils.seed_control | Global seed set to 42
2026-07-10 19:10:55 | INFO     | src.utils.seed_control | NumPy seed set.
2026-07-10 19:10:55 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-07-10 19:10:57 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-07-10 19:10:57 | INFO     | __main__ | === Matched Intervention Run: model=qwen_vl ===
2026-07-10 19:10:57 | INFO     | __main__ | Loading decomposition results from results/rebuttal_exp2_sensitivity/weak/decomposition/qwen_vl/vizwiz_chunk_0.jsonl
2026-07-10 19:10:57 | INFO     | __main__ | Loaded 1080 decomposition results
2026-07-10 19:10:57 | INFO     | __main__ | Loading model: qwen_vl
2026-07-10 19:10:58 | INFO     | src.models.qwen_vl | Loading Qwen3-VL model: /home/models/Qwen3-VL-8B-Instruct
2026-07-10 19:10:58 | INFO     | src.models.qwen_vl | Pinning model to cuda:0
2026-07-10 19:11:03 | INFO     | src.models.qwen_vl | Qwen3-VL loaded. model=/home/models/Qwen3-VL-8B-Instruct, device=cuda:0, dtype=bfloat16
2026-07-10 19:11:03 | INFO     | __main__ | Model loaded.
2026-07-10 19:11:03 | INFO     | experiment.intervention_qwen_vl | ExperimentLogger initialized: results/rebuttal_exp2_sensitivity/weak/intervention/qwen_vl/vizwiz_chunk_0.jsonl (experiment='intervention_qwen_vl')
2026-07-10 19:11:03 | INFO     | __main__ | Processing sample 0/1080...
2026-07-10 19:12:25 | INFO     | __main__ | Processing sample 50/1080...
2026-07-10 19:13:56 | INFO     | __main__ | Processing sample 100/1080...
2026-07-10 19:15:29 | INFO     | __main__ | Processing sample 150/1080...
2026-07-10 19:17:07 | INFO     | __main__ | Processing sample 200/1080...
2026-07-10 19:18:39 | INFO     | __main__ | Processing sample 250/1080...
2026-07-10 19:19:51 | INFO     | __main__ | Processing sample 300/1080...
2026-07-10 19:21:26 | INFO     | __main__ | Processing sample 350/1080...
2026-07-10 19:22:48 | INFO     | __main__ | Processing sample 400/1080...
2026-07-10 19:23:56 | INFO     | __main__ | Processing sample 450/1080...
2026-07-10 19:25:02 | INFO     | __main__ | Processing sample 500/1080...
2026-07-10 19:26:08 | INFO     | __main__ | Processing sample 550/1080...
2026-07-10 19:27:16 | INFO     | __main__ | Processing sample 600/1080...
2026-07-10 19:28:17 | INFO     | __main__ | Processing sample 650/1080...
2026-07-10 19:29:19 | INFO     | __main__ | Processing sample 700/1080...
2026-07-10 19:30:28 | INFO     | __main__ | Processing sample 750/1080...
2026-07-10 19:31:32 | INFO     | __main__ | Processing sample 800/1080...
2026-07-10 19:32:35 | INFO     | __main__ | Processing sample 850/1080...
2026-07-10 19:33:46 | INFO     | __main__ | Processing sample 900/1080...
2026-07-10 19:34:53 | INFO     | __main__ | Processing sample 950/1080...
2026-07-10 19:36:03 | INFO     | __main__ | Processing sample 1000/1080...
2026-07-10 19:37:13 | INFO     | __main__ | Processing sample 1050/1080...
2026-07-10 19:37:52 | INFO     | experiment.intervention_qwen_vl | Experiment summary: {
  "model": "qwen_vl",
  "decomp_source": "results/rebuttal_exp2_sensitivity/weak/decomposition/qwen_vl/vizwiz_chunk_0.jsonl",
  "n_samples": 1080
}
2026-07-10 19:37:52 | INFO     | experiment.intervention_qwen_vl | Summary saved to results/rebuttal_exp2_sensitivity/weak/intervention/qwen_vl/vizwiz_chunk_0.summary.json
2026-07-10 19:37:52 | INFO     | __main__ | Done. Results saved to: results/rebuttal_exp2_sensitivity/weak/intervention/qwen_vl/vizwiz_chunk_0.jsonl
