model,dataset,v_mean,lp_mean,a_mean,lp_match_rate
gemma_vl,hallusionbench,0.1220,0.9579,0.5015,0.5689
gemma_vl,pope,0.1139,0.9991,0.3360,0.5328
gemma_vl,vizwiz,0.3029,0.9955,0.6383,0.3755
gemma_vl,vsr,0.1433,0.9989,0.6749,0.6441
llava_mistral,hallusionbench,0.0899,0.9790,0.2407,0.5836
llava_mistral,pope,0.1045,0.9993,0.0609,0.5580
llava_mistral,vizwiz,0.1924,0.9936,0.4790,0.4397
llava_mistral,vsr,0.1579,0.9999,0.0989,0.5059
llava_vicuna,hallusionbench,0.0707,0.9452,0.2085,0.7119
llava_vicuna,pope,0.1155,0.9916,0.2044,0.5652
llava_vicuna,vizwiz,0.2150,0.9773,0.6041,0.3962
llava_vicuna,vsr,0.0368,0.9144,0.1047,0.9647
qwen_vl,hallusionbench,0.1421,0.9624,0.3184,0.5857
qwen_vl,pope,0.0940,1.0000,0.2653,0.5692
qwen_vl,vizwiz,0.2340,0.9989,0.4883,0.3971
qwen_vl,vsr,0.1424,0.9948,0.6134,0.5176
