model,classifier,features,auroc_mean,auroc_std
gemma_vl,LogisticRegression,Scalar Only,0.7538972776665547,0.008612744157567636
gemma_vl,LogisticRegression,V+L+A,0.920861021218253,0.005760287076791976
gemma_vl,LogisticRegression,V+L+A+Scalar,0.9322088198619494,0.005548889892857544
gemma_vl,XGBoost,Scalar Only,0.8341358039610643,0.012814036549208799
gemma_vl,XGBoost,V+L+A,0.9654122056941775,0.0011519115091983563
gemma_vl,XGBoost,V+L+A+Scalar,0.9740307800386612,0.0020101846908068114
gemma_vl,LightGBM,Scalar Only,0.8357034029371653,0.011538814816380479
gemma_vl,LightGBM,V+L+A,0.9654908495707779,0.0014041882827326066
gemma_vl,LightGBM,V+L+A+Scalar,0.9726113348721703,0.0019173971830176708
llava_mistral,LogisticRegression,Scalar Only,0.8466622889788973,0.002584361379153477
llava_mistral,LogisticRegression,V+L+A,0.891503254683002,0.0029838406492914108
llava_mistral,LogisticRegression,V+L+A+Scalar,0.9073564871257211,0.0032294824775237685
llava_mistral,XGBoost,Scalar Only,0.8599241588651966,0.0029793530374417443
llava_mistral,XGBoost,V+L+A,0.9725140523704464,0.0018760704519559961
llava_mistral,XGBoost,V+L+A+Scalar,0.9792696144172053,0.0017654937840901417
llava_mistral,LightGBM,Scalar Only,0.8587075208740396,0.004353366619099558
llava_mistral,LightGBM,V+L+A,0.9733538168788327,0.0013715391750282497
llava_mistral,LightGBM,V+L+A+Scalar,0.9796017542178139,0.0015359995949966565
llava_vicuna,LogisticRegression,Scalar Only,0.8678304841849144,0.00511755009270857
llava_vicuna,LogisticRegression,V+L+A,0.8764268763189887,0.005064684908876784
llava_vicuna,LogisticRegression,V+L+A+Scalar,0.9406263265725832,0.004281446575930383
llava_vicuna,XGBoost,Scalar Only,0.8725697549130507,0.0038058775028657
llava_vicuna,XGBoost,V+L+A,0.9599858900897191,0.0012537216225109377
llava_vicuna,XGBoost,V+L+A+Scalar,0.981447385661788,0.0005924618701668939
llava_vicuna,LightGBM,Scalar Only,0.872405662611003,0.0042280789208088915
llava_vicuna,LightGBM,V+L+A,0.9598771054550681,0.001752152474276456
llava_vicuna,LightGBM,V+L+A+Scalar,0.9808909532737442,0.0003967789180941424
qwen_vl,LogisticRegression,Scalar Only,0.729561468329458,0.006394308286626436
qwen_vl,LogisticRegression,V+L+A,0.7562715953466463,0.0054502394764843545
qwen_vl,LogisticRegression,V+L+A+Scalar,0.7569302037934404,0.005986535864092924
qwen_vl,XGBoost,Scalar Only,0.8056867003810941,0.007068840879777271
qwen_vl,XGBoost,V+L+A,0.9716318660020024,0.0016712300160904396
qwen_vl,XGBoost,V+L+A+Scalar,0.9761140045327066,0.0019251105023363154
qwen_vl,LightGBM,Scalar Only,0.8357068911779854,0.004987984115458422
qwen_vl,LightGBM,V+L+A,0.9722524403069235,0.0017257246237728512
qwen_vl,LightGBM,V+L+A+Scalar,0.9763009262399983,0.0019180464331782594
POOLED,LogisticRegression,Scalar Only,0.7516065857667757,0.0015773329171679812
POOLED,LogisticRegression,V+L+A,0.8283575555013118,0.0028232608668030228
POOLED,LogisticRegression,V+L+A+Scalar,0.8731560249232586,0.0023200379599225733
POOLED,XGBoost,Scalar Only,0.7809108138188319,0.0023091511226592397
POOLED,XGBoost,V+L+A,0.9541195657674699,0.0015072991652928715
POOLED,XGBoost,V+L+A+Scalar,0.9705143910345966,0.0012530091251487757
POOLED,LightGBM,Scalar Only,0.780444934028002,0.0024056275832225866
POOLED,LightGBM,V+L+A,0.9528005130886257,0.001598180604824516
POOLED,LightGBM,V+L+A+Scalar,0.968120744524261,0.0015647883189179625
