coverage,Scalar Confidence_risk,Scalar Confidence_sel_acc,Source-Aware (penalty)_risk,Source-Aware (penalty)_sel_acc,Source-Aware (weighted)_risk,Source-Aware (weighted)_sel_acc,Source-Aware (geometric)_risk,Source-Aware (geometric)_sel_acc
0.05,0.03698630136986303,0.963013698630137,0.27808219178082194,0.7219178082191781,0.05342465753424652,0.9465753424657535,0.2465753424657534,0.7534246575342466
0.1,0.03627652292950034,0.9637234770704997,0.1765913757700205,0.8234086242299795,0.052019164955509956,0.94798083504449,0.1581108829568788,0.8418891170431212
0.15,0.04198995892286628,0.9580100410771337,0.13327247832040168,0.8667275216795983,0.05340027384755819,0.9465997261524418,0.12049292560474667,0.8795070743952533
0.2,0.04585900068446269,0.9541409993155373,0.1078028747433265,0.8921971252566735,0.061601642710472304,0.9383983572895277,0.10164271047227924,0.8983572895277208
0.25,0.04874041621029568,0.9512595837897043,0.09665936473165393,0.9033406352683461,0.0714676889375685,0.9285323110624315,0.09036144578313254,0.9096385542168675
0.3,0.05087839379420489,0.9491216062057951,0.08761122518822728,0.9123887748117727,0.08213552361396304,0.917864476386037,0.08669860825918319,0.9133013917408168
0.35,0.05554469000586737,0.9444553099941326,0.08409935458634854,0.9159006454136515,0.08429493448073533,0.9157050655192647,0.08136123606493251,0.9186387639350675
0.4,0.06040383299110197,0.939596167008898,0.0809377138945927,0.9190622861054073,0.08761122518822728,0.9123887748117727,0.08196440793976734,0.9180355920602327
0.45,0.06434438697900824,0.9356556130209918,0.08259811378156379,0.9174018862184362,0.09172497718284145,0.9082750228171586,0.08320657134164888,0.9167934286583511
0.5,0.06981519507186862,0.9301848049281314,0.08624229979466114,0.9137577002053389,0.09787816563997265,0.9021218343600274,0.08665297741273104,0.913347022587269
0.55,0.07952706907280649,0.9204729309271935,0.09296826384567514,0.9070317361543249,0.11064094586185436,0.8893590541381456,0.09296826384567514,0.9070317361543249
0.6,0.09183207848505592,0.9081679215149441,0.11339265343372118,0.8866073465662788,0.11704312114989734,0.8829568788501027,0.11339265343372118,0.8866073465662788
0.65,0.10815080033698399,0.891849199663016,0.12910699241786017,0.8708930075821398,0.12710614995787695,0.872893850042123,0.12910699241786017,0.8708930075821398
0.7,0.1263322577490955,0.8736677422509045,0.14657279749682217,0.8534272025031778,0.13747922166813342,0.8625207783318666,0.14657279749682217,0.8534272025031778
0.75,0.14100574974901892,0.8589942502509811,0.1682942411243954,0.8317057588756046,0.1482157524869946,0.8517842475130054,0.1682942411243954,0.8317057588756046
0.8,0.1581108829568788,0.8418891170431212,0.18771389459274468,0.8122861054072553,0.1638432580424367,0.8361567419575633,0.18771389459274468,0.8122861054072553
0.85,0.1770816556611371,0.8229183443388629,0.2043807376389113,0.7956192623610887,0.17933644709292962,0.8206635529070704,0.2043807376389113,0.7956192623610887
0.9,0.19773366795954062,0.8022663320404594,0.2199406798996122,0.7800593201003878,0.19659289679823566,0.8034071032017643,0.2199406798996122,0.7800593201003878
0.95,0.21910800489948845,0.7808919951005115,0.23373441890626123,0.7662655810937388,0.217594927588443,0.782405072411557,0.23373441890626123,0.7662655810937388
1.0,0.24407939767282683,0.7559206023271732,0.24407939767282683,0.7559206023271732,0.24407939767282683,0.7559206023271732,0.24407939767282683,0.7559206023271732
