coverage,Scalar Confidence_risk,Scalar Confidence_sel_acc,Source-Aware (penalty)_risk,Source-Aware (penalty)_sel_acc,Source-Aware (weighted)_risk,Source-Aware (weighted)_sel_acc,Source-Aware (geometric)_risk,Source-Aware (geometric)_sel_acc
0.05,0.0,1.0,0.3013698630136986,0.6986301369863014,0.008219178082191747,0.9917808219178083,0.28356164383561644,0.7164383561643836
0.1,0.010266940451745366,0.9897330595482546,0.188227241615332,0.811772758384668,0.010266940451745366,0.9897330595482546,0.161533196440794,0.838466803559206
0.15,0.013235965312642595,0.9867640346873574,0.13190324052943858,0.8680967594705614,0.013235965312642595,0.9867640346873574,0.12779552715654952,0.8722044728434505
0.2,0.010951403148528382,0.9890485968514716,0.10130047912388773,0.8986995208761123,0.013347022587268942,0.9866529774127311,0.10061601642710472,0.8993839835728953
0.25,0.012595837897042661,0.9874041621029573,0.09063526834611169,0.9093647316538883,0.02300109529025196,0.976998904709748,0.09063526834611169,0.9093647316538883
0.3,0.014373716632443578,0.9856262833675564,0.0958247775496236,0.9041752224503764,0.03878621948437144,0.9612137805156286,0.0958247775496236,0.9041752224503764
0.35,0.021318208488167456,0.9786817915118325,0.10346176413064734,0.8965382358693527,0.0430275767651086,0.9569724232348914,0.10346176413064734,0.8965382358693527
0.4,0.027207392197125202,0.9727926078028748,0.1115674195756331,0.8884325804243669,0.04654346338124571,0.9534565366187543,0.1115674195756331,0.8884325804243669
0.45,0.03300882263462124,0.9669911773653788,0.11423790690599334,0.8857620930940067,0.057347125038028635,0.9426528749619714,0.11423790690599334,0.8857620930940067
0.5,0.04462696783025322,0.9553730321697468,0.11868583162217661,0.8813141683778234,0.0631074606433949,0.9368925393566051,0.11868583162217661,0.8813141683778234
0.55,0.06409458618543873,0.9359054138145613,0.12258867454884881,0.8774113254511512,0.07927815805849414,0.9207218419415059,0.12258867454884881,0.8774113254511512
0.6,0.08053844398813603,0.919461556011864,0.12651152178872915,0.8734884782112708,0.09673739447866758,0.9032626055213324,0.12651152178872915,0.8734884782112708
0.65,0.09877843302443134,0.9012215669755687,0.1278433024431339,0.8721566975568661,0.11141533277169335,0.8885846672283066,0.1278433024431339,0.8721566975568661
0.7,0.11782536423193513,0.8821746357680649,0.13640363743033146,0.8635963625696685,0.13200352009386918,0.8679964799061308,0.13640363743033146,0.8635963625696685
0.75,0.13534726658756957,0.8646527334124304,0.15661221137172587,0.8433877886282741,0.1481244866295519,0.8518755133704481,0.15661221137172587,0.8433877886282741
0.8,0.15571526351813825,0.8442847364818618,0.1767624914442163,0.8232375085557837,0.16504106776180694,0.8349589322381931,0.1767624914442163,0.8232375085557837
0.85,0.1744242229022387,0.8255757770977613,0.1965694958930585,0.8034305041069415,0.1807859558705105,0.8192140441294895,0.1965694958930585,0.8034305041069415
0.9,0.19119324663472503,0.808806753365275,0.21362841280705758,0.7863715871929424,0.19598448551220626,0.8040155144877937,0.21362841280705758,0.7863715871929424
0.95,0.21283954175372866,0.7871604582462713,0.22825852006628722,0.7717414799337128,0.2132718495568845,0.7867281504431155,0.22825852006628722,0.7717414799337128
1.0,0.23839835728952774,0.7616016427104723,0.23839835728952774,0.7616016427104723,0.23839835728952774,0.7616016427104723,0.23839835728952774,0.7616016427104723
