coverage,Scalar Confidence_risk,Scalar Confidence_sel_acc,Source-Aware (penalty)_risk,Source-Aware (penalty)_sel_acc,Source-Aware (weighted)_risk,Source-Aware (weighted)_sel_acc,Source-Aware (geometric)_risk,Source-Aware (geometric)_sel_acc
0.05,0.09302325581395354,0.9069767441860465,0.24186046511627912,0.7581395348837209,0.12558139534883717,0.8744186046511628,0.22790697674418603,0.772093023255814
0.1,0.13457076566125292,0.8654292343387471,0.2529002320185615,0.7470997679814385,0.18793503480278417,0.8120649651972158,0.24361948955916468,0.7563805104408353
0.15,0.16383307573415762,0.8361669242658424,0.27511591962905724,0.7248840803709428,0.22102009273570322,0.7789799072642968,0.2828438948995363,0.7171561051004637
0.2,0.18076477404403246,0.8192352259559675,0.30590961761297797,0.694090382387022,0.2526071842410197,0.7473928157589803,0.29432213209733493,0.7056778679026651
0.25,0.2001853568118629,0.7998146431881371,0.3206672845227062,0.6793327154772938,0.267840593141798,0.732159406858202,0.3206672845227062,0.6793327154772938
0.3,0.22471042471042468,0.7752895752895753,0.3482625482625482,0.6517374517374518,0.2903474903474903,0.7096525096525097,0.3482625482625482,0.6517374517374518
0.35,0.24354731965585708,0.7564526803441429,0.371939113170086,0.628060886829914,0.30178689609530107,0.6982131039046989,0.371939113170086,0.628060886829914
0.4,0.2605674580196873,0.7394325419803127,0.3885350318471338,0.6114649681528662,0.3173132599884192,0.6826867400115808,0.3885350318471338,0.6114649681528662
0.45,0.2820380854348945,0.7179619145651055,0.40349974266598043,0.5965002573340196,0.32578486875965007,0.6742151312403499,0.40349974266598043,0.5965002573340196
0.5,0.3006021306160259,0.6993978693839741,0.41222788327929594,0.5877721167207041,0.333487725798981,0.666512274201019,0.41222788327929594,0.5877721167207041
0.55,0.31747368421052635,0.6825263157894736,0.4143157894736842,0.5856842105263158,0.3482105263157895,0.6517894736842105,0.4143157894736842,0.5856842105263158
0.6,0.3342338865302972,0.6657661134697028,0.42724816673099186,0.5727518332690081,0.3581628714781937,0.6418371285218063,0.42724816673099186,0.5727518332690081
0.65,0.3459209120057001,0.6540790879942999,0.4317776986106163,0.5682223013893837,0.3662272889205558,0.6337727110794442,0.4317776986106163,0.5682223013893837
0.7,0.36486933509758523,0.6351306649024148,0.4383063182269269,0.5616936817730731,0.37380086007277535,0.6261991399272246,0.4383063182269269,0.5616936817730731
0.75,0.3812905217659771,0.6187094782340229,0.44550787280024695,0.554492127199753,0.38468663167644335,0.6153133683235567,0.44550787280024695,0.554492127199753
0.8,0.39594790159189586,0.6040520984081041,0.4480463096960926,0.5519536903039074,0.39768451519536907,0.6023154848046309,0.4480463096960926,0.5519536903039074
0.85,0.41160446744756196,0.588395532552438,0.4521928629801144,0.5478071370198856,0.4086080087169709,0.5913919912830291,0.4521928629801144,0.5478071370198856
0.9,0.42603550295857984,0.5739644970414202,0.45613583740674046,0.5438641625932595,0.42526369951119114,0.5747363004888089,0.45613583740674046,0.5438641625932595
0.95,0.4426029734340726,0.5573970265659274,0.4591762125274189,0.5408237874725811,0.44162807701681694,0.558371922983183,0.4591762125274189,0.5408237874725811
1.0,0.46098633943042366,0.5390136605695763,0.46098633943042366,0.5390136605695763,0.46098633943042366,0.5390136605695763,0.46098633943042366,0.5390136605695763
