coverage,Scalar Confidence_risk,Scalar Confidence_sel_acc,Source-Aware (penalty)_risk,Source-Aware (penalty)_sel_acc,Source-Aware (weighted)_risk,Source-Aware (weighted)_sel_acc,Source-Aware (geometric)_risk,Source-Aware (geometric)_sel_acc
0.05,0.008888888888888835,0.9911111111111112,0.020000000000000018,0.98,0.046666666666666634,0.9533333333333334,0.013333333333333308,0.9866666666666667
0.1,0.010000000000000009,0.99,0.026666666666666616,0.9733333333333334,0.0377777777777778,0.9622222222222222,0.026666666666666616,0.9733333333333334
0.15,0.008888888888888835,0.9911111111111112,0.022222222222222254,0.9777777777777777,0.053333333333333344,0.9466666666666667,0.022222222222222254,0.9777777777777777
0.2,0.010000000000000009,0.99,0.020000000000000018,0.98,0.05222222222222217,0.9477777777777778,0.020000000000000018,0.98
0.25,0.010666666666666713,0.9893333333333333,0.01733333333333331,0.9826666666666667,0.059555555555555584,0.9404444444444444,0.01866666666666672,0.9813333333333333
0.3,0.013703703703703662,0.9862962962962963,0.018888888888888844,0.9811111111111112,0.058518518518518525,0.9414814814814815,0.018888888888888844,0.9811111111111112
0.35,0.017142857142857126,0.9828571428571429,0.02190476190476187,0.9780952380952381,0.060317460317460325,0.9396825396825397,0.020952380952380945,0.979047619047619
0.4,0.01749999999999996,0.9825,0.02083333333333337,0.9791666666666666,0.05833333333333335,0.9416666666666667,0.02083333333333337,0.9791666666666666
0.45,0.017037037037037073,0.9829629629629629,0.025925925925925908,0.9740740740740741,0.06098765432098763,0.9390123456790124,0.025925925925925908,0.9740740740740741
0.5,0.019333333333333313,0.9806666666666667,0.040888888888888864,0.9591111111111111,0.06533333333333335,0.9346666666666666,0.040888888888888864,0.9591111111111111
0.55,0.02202020202020205,0.977979797979798,0.05353535353535355,0.9464646464646465,0.06747474747474747,0.9325252525252525,0.05353535353535355,0.9464646464646465
0.6,0.027407407407407436,0.9725925925925926,0.06314814814814818,0.9368518518518518,0.07222222222222219,0.9277777777777778,0.06314814814814818,0.9368518518518518
0.65,0.033675213675213644,0.9663247863247864,0.07299145299145304,0.927008547008547,0.08102564102564103,0.918974358974359,0.07299145299145304,0.927008547008547
0.7,0.037936507936507935,0.9620634920634921,0.07999999999999996,0.92,0.07761904761904759,0.9223809523809524,0.07999999999999996,0.92
0.75,0.04533333333333334,0.9546666666666667,0.08592592592592596,0.914074074074074,0.07511111111111113,0.9248888888888889,0.08592592592592596,0.914074074074074
0.8,0.05500000000000005,0.945,0.09111111111111114,0.9088888888888889,0.07874999999999999,0.92125,0.09111111111111114,0.9088888888888889
0.85,0.06379084967320259,0.9362091503267974,0.09882352941176475,0.9011764705882352,0.08235294117647063,0.9176470588235294,0.09882352941176475,0.9011764705882352
0.9,0.07765432098765435,0.9223456790123457,0.10333333333333339,0.8966666666666666,0.08296296296296302,0.917037037037037,0.10333333333333339,0.8966666666666666
0.95,0.09520467836257307,0.9047953216374269,0.10795321637426902,0.892046783625731,0.09309941520467835,0.9069005847953217,0.10795321637426902,0.892046783625731
1.0,0.11077777777777775,0.8892222222222222,0.11077777777777775,0.8892222222222222,0.11077777777777775,0.8892222222222222,0.11077777777777775,0.8892222222222222
