2026-04-23 10:15:41 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-23 10:15:41 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-23 10:15:41 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-23 10:15:43 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-23 10:15:43 | INFO     | __main__ | === Decomposition Run: dataset=pope, model=qwen_vl ===
2026-04-23 10:15:43 | INFO     | __main__ | Loading dataset...
2026-04-23 10:15:43 | INFO     | src.data.loaders.base | [POPELoader] Loaded 9000 samples (split=all)
2026-04-23 10:15:43 | INFO     | __main__ | Loaded 9000 samples from pope
2026-04-23 10:15:43 | INFO     | __main__ | Loading model: qwen_vl...
2026-04-23 10:15:43 | INFO     | src.models.qwen_vl | Loading Qwen3-VL model: /home/models/Qwen3-VL-8B-Instruct
2026-04-23 10:15:43 | INFO     | src.models.qwen_vl | Pinning model to cuda:2
2026-04-23 10:15:49 | INFO     | src.models.qwen_vl | Qwen3-VL loaded. model=/home/models/Qwen3-VL-8B-Instruct, device=cuda:2, dtype=bfloat16
2026-04-23 10:15:49 | INFO     | __main__ | Model loaded successfully.
2026-04-23 10:15:49 | INFO     | __main__ | Forward passes per sample: 8
2026-04-23 10:15:49 | INFO     | __main__ | Estimated total forward passes: 72000
2026-04-23 10:15:49 | INFO     | experiment.decomp_pope_qwen_vl | ExperimentLogger initialized: results/decomposition/qwen_vl/pope.jsonl (experiment='decomp_pope_qwen_vl')
2026-04-23 10:15:49 | INFO     | __main__ | Processing sample 0/9000...
2026-04-23 10:17:37 | INFO     | __main__ | Processing sample 50/9000...
2026-04-23 10:19:20 | INFO     | __main__ | Processing sample 100/9000...
2026-04-23 10:21:06 | INFO     | __main__ | Processing sample 150/9000...
2026-04-23 10:22:52 | INFO     | __main__ | Processing sample 200/9000...
2026-04-23 10:24:35 | INFO     | __main__ | Processing sample 250/9000...
2026-04-23 10:26:24 | INFO     | __main__ | Processing sample 300/9000...
2026-04-23 10:28:20 | INFO     | __main__ | Processing sample 350/9000...
2026-04-23 10:30:12 | INFO     | __main__ | Processing sample 400/9000...
2026-04-23 10:32:01 | INFO     | __main__ | Processing sample 450/9000...
2026-04-23 10:34:01 | INFO     | __main__ | Processing sample 500/9000...
2026-04-23 10:35:52 | INFO     | __main__ | Processing sample 550/9000...
2026-04-23 10:37:39 | INFO     | __main__ | Processing sample 600/9000...
2026-04-23 10:39:36 | INFO     | __main__ | Processing sample 650/9000...
2026-04-23 10:41:34 | INFO     | __main__ | Processing sample 700/9000...
2026-04-23 10:43:24 | INFO     | __main__ | Processing sample 750/9000...
2026-04-23 10:45:07 | INFO     | __main__ | Processing sample 800/9000...
2026-04-23 10:47:02 | INFO     | __main__ | Processing sample 850/9000...
2026-04-23 10:48:56 | INFO     | __main__ | Processing sample 900/9000...
2026-04-23 10:50:44 | INFO     | __main__ | Processing sample 950/9000...
2026-04-23 10:52:32 | INFO     | __main__ | Processing sample 1000/9000...
2026-04-23 10:54:24 | INFO     | __main__ | Processing sample 1050/9000...
2026-04-23 10:56:17 | INFO     | __main__ | Processing sample 1100/9000...
2026-04-23 10:58:16 | INFO     | __main__ | Processing sample 1150/9000...
2026-04-23 11:00:09 | INFO     | __main__ | Processing sample 1200/9000...
2026-04-23 11:01:50 | INFO     | __main__ | Processing sample 1250/9000...
2026-04-23 11:03:39 | INFO     | __main__ | Processing sample 1300/9000...
2026-04-23 11:05:38 | INFO     | __main__ | Processing sample 1350/9000...
2026-04-23 11:07:31 | INFO     | __main__ | Processing sample 1400/9000...
2026-04-23 11:09:27 | INFO     | __main__ | Processing sample 1450/9000...
2026-04-23 11:11:16 | INFO     | __main__ | Processing sample 1500/9000...
2026-04-23 11:13:07 | INFO     | __main__ | Processing sample 1550/9000...
2026-04-23 11:15:10 | INFO     | __main__ | Processing sample 1600/9000...
2026-04-23 11:17:16 | INFO     | __main__ | Processing sample 1650/9000...
2026-04-23 11:19:18 | INFO     | __main__ | Processing sample 1700/9000...
2026-04-23 11:21:15 | INFO     | __main__ | Processing sample 1750/9000...
2026-04-23 11:23:13 | INFO     | __main__ | Processing sample 1800/9000...
2026-04-23 11:25:16 | INFO     | __main__ | Processing sample 1850/9000...
2026-04-23 11:27:06 | INFO     | __main__ | Processing sample 1900/9000...
2026-04-23 11:28:58 | INFO     | __main__ | Processing sample 1950/9000...
2026-04-23 11:31:04 | INFO     | __main__ | Processing sample 2000/9000...
2026-04-23 11:32:56 | INFO     | __main__ | Processing sample 2050/9000...
2026-04-23 11:34:47 | INFO     | __main__ | Processing sample 2100/9000...
2026-04-23 11:36:42 | INFO     | __main__ | Processing sample 2150/9000...
2026-04-23 11:38:34 | INFO     | __main__ | Processing sample 2200/9000...
2026-04-23 11:40:26 | INFO     | __main__ | Processing sample 2250/9000...
2026-04-23 11:42:21 | INFO     | __main__ | Processing sample 2300/9000...
2026-04-23 11:44:19 | INFO     | __main__ | Processing sample 2350/9000...
2026-04-23 11:46:22 | INFO     | __main__ | Processing sample 2400/9000...
2026-04-23 11:48:22 | INFO     | __main__ | Processing sample 2450/9000...
2026-04-23 11:50:15 | INFO     | __main__ | Processing sample 2500/9000...
2026-04-23 11:52:08 | INFO     | __main__ | Processing sample 2550/9000...
2026-04-23 11:54:00 | INFO     | __main__ | Processing sample 2600/9000...
2026-04-23 11:55:55 | INFO     | __main__ | Processing sample 2650/9000...
2026-04-23 11:57:38 | INFO     | __main__ | Processing sample 2700/9000...
2026-04-23 11:59:38 | INFO     | __main__ | Processing sample 2750/9000...
2026-04-23 12:01:33 | INFO     | __main__ | Processing sample 2800/9000...
2026-04-23 12:03:27 | INFO     | __main__ | Processing sample 2850/9000...
