2026-04-23 16:06:56 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-23 16:06:56 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-23 16:06:56 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-23 16:06:59 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-23 16:06:59 | INFO     | __main__ | === Decomposition Run: dataset=vizwiz, model=qwen_vl ===
2026-04-23 16:06:59 | INFO     | __main__ | Loading dataset...
2026-04-23 16:06:59 | INFO     | src.data.loaders.base | [VizWizLoader] Loaded 4319 samples (split=val)
2026-04-23 16:06:59 | INFO     | __main__ | Loaded 4319 samples from vizwiz
2026-04-23 16:06:59 | INFO     | __main__ | Loading model: qwen_vl...
2026-04-23 16:06:59 | INFO     | src.models.qwen_vl | Loading Qwen3-VL model: /home/models/Qwen3-VL-8B-Instruct
2026-04-23 16:06:59 | INFO     | src.models.qwen_vl | Pinning model to cuda:2
2026-04-23 16:07:04 | INFO     | src.models.qwen_vl | Qwen3-VL loaded. model=/home/models/Qwen3-VL-8B-Instruct, device=cuda:2, dtype=bfloat16
2026-04-23 16:07:04 | INFO     | __main__ | Model loaded successfully.
2026-04-23 16:07:04 | INFO     | __main__ | Forward passes per sample: 8
2026-04-23 16:07:04 | INFO     | __main__ | Estimated total forward passes: 34552
2026-04-23 16:07:04 | INFO     | experiment.decomp_vizwiz_qwen_vl | ExperimentLogger initialized: results/decomposition/qwen_vl/vizwiz.jsonl (experiment='decomp_vizwiz_qwen_vl')
2026-04-23 16:07:04 | INFO     | __main__ | Processing sample 0/4319...
2026-04-23 16:12:04 | INFO     | __main__ | Processing sample 50/4319...
2026-04-23 16:17:32 | INFO     | __main__ | Processing sample 100/4319...
2026-04-23 16:23:04 | INFO     | __main__ | Processing sample 150/4319...
2026-04-23 16:28:37 | INFO     | __main__ | Processing sample 200/4319...
2026-04-23 16:34:01 | INFO     | __main__ | Processing sample 250/4319...
2026-04-23 16:38:23 | INFO     | __main__ | Processing sample 300/4319...
2026-04-23 16:43:52 | INFO     | __main__ | Processing sample 350/4319...
2026-04-23 16:48:46 | INFO     | __main__ | Processing sample 400/4319...
2026-04-23 16:52:56 | INFO     | __main__ | Processing sample 450/4319...
2026-04-23 16:57:10 | INFO     | __main__ | Processing sample 500/4319...
2026-04-23 17:01:18 | INFO     | __main__ | Processing sample 550/4319...
2026-04-23 17:05:36 | INFO     | __main__ | Processing sample 600/4319...
