2026-05-06 22:32:50 | INFO     | src.utils.seed_control | Global seed set to 42
2026-05-06 22:32:50 | INFO     | src.utils.seed_control | NumPy seed set.
2026-05-06 22:32:50 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-05-06 22:32:53 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-05-06 22:32:53 | INFO     | __main__ | === Identifiability Run: dataset=vizwiz, model=gemma_vl, intervention=alignment_ruined ===
2026-05-06 22:32:53 | INFO     | src.data.loaders.base | [VizWizLoader] Loaded 4319 samples (split=val)
2026-05-06 22:32:53 | INFO     | __main__ | Loaded 4319 samples.
2026-05-06 22:32:53 | INFO     | src.models.gemma_vl | Loading Gemma 4 model: /home/models/gemma-4-E4B-it
2026-05-06 22:32:53 | INFO     | src.models.gemma_vl | Pinning model to cuda:1
2026-05-06 22:32:59 | INFO     | src.models.gemma_vl | Gemma 4 loaded. model=/home/models/gemma-4-E4B-it, device=cuda:1, dtype=bfloat16
2026-05-06 22:32:59 | INFO     | __main__ | Model loaded.
2026-05-06 22:32:59 | INFO     | experiment.identifiability_alignment_ruined_vizwiz_gemma_vl | ExperimentLogger initialized: results/identifiability/alignment_ruined/gemma_vl/vizwiz.jsonl (experiment='identifiability_alignment_ruined_vizwiz_gemma_vl')
2026-05-06 22:32:59 | INFO     | __main__ | Processing sample 0/4319...
2026-05-06 22:35:57 | INFO     | __main__ | Processing sample 50/4319...
2026-05-06 22:39:09 | INFO     | __main__ | Processing sample 100/4319...
2026-05-06 22:42:22 | INFO     | __main__ | Processing sample 150/4319...
2026-05-06 22:45:35 | INFO     | __main__ | Processing sample 200/4319...
2026-05-06 22:48:57 | INFO     | __main__ | Processing sample 250/4319...
2026-05-06 22:52:07 | INFO     | __main__ | Processing sample 300/4319...
2026-05-06 22:55:10 | INFO     | __main__ | Processing sample 350/4319...
2026-05-06 22:58:35 | INFO     | __main__ | Processing sample 400/4319...
2026-05-06 23:01:42 | INFO     | __main__ | Processing sample 450/4319...
2026-05-06 23:04:39 | INFO     | __main__ | Processing sample 500/4319...
2026-05-06 23:07:42 | INFO     | __main__ | Processing sample 550/4319...
2026-05-06 23:10:43 | INFO     | __main__ | Processing sample 600/4319...
2026-05-06 23:13:40 | INFO     | __main__ | Processing sample 650/4319...
2026-05-06 23:16:34 | INFO     | __main__ | Processing sample 700/4319...
2026-05-06 23:19:32 | INFO     | __main__ | Processing sample 750/4319...
2026-05-06 23:22:38 | INFO     | __main__ | Processing sample 800/4319...
2026-05-06 23:25:38 | INFO     | __main__ | Processing sample 850/4319...
2026-05-06 23:28:58 | INFO     | __main__ | Processing sample 900/4319...
2026-05-06 23:32:04 | INFO     | __main__ | Processing sample 950/4319...
2026-05-06 23:35:14 | INFO     | __main__ | Processing sample 1000/4319...
2026-05-06 23:38:48 | INFO     | __main__ | Processing sample 1050/4319...
2026-05-06 23:41:57 | INFO     | __main__ | Processing sample 1100/4319...
2026-05-06 23:45:24 | INFO     | __main__ | Processing sample 1150/4319...
2026-05-06 23:48:24 | INFO     | __main__ | Processing sample 1200/4319...
2026-05-06 23:51:06 | INFO     | __main__ | Processing sample 1250/4319...
2026-05-06 23:53:53 | INFO     | __main__ | Processing sample 1300/4319...
2026-05-06 23:56:39 | INFO     | __main__ | Processing sample 1350/4319...
2026-05-06 23:59:26 | INFO     | __main__ | Processing sample 1400/4319...
2026-05-07 00:02:17 | INFO     | __main__ | Processing sample 1450/4319...
2026-05-07 00:05:06 | INFO     | __main__ | Processing sample 1500/4319...
2026-05-07 00:08:00 | INFO     | __main__ | Processing sample 1550/4319...
2026-05-07 00:10:57 | INFO     | __main__ | Processing sample 1600/4319...
2026-05-07 00:13:45 | INFO     | __main__ | Processing sample 1650/4319...
2026-05-07 00:16:34 | INFO     | __main__ | Processing sample 1700/4319...
2026-05-07 00:19:20 | INFO     | __main__ | Processing sample 1750/4319...
2026-05-07 00:22:13 | INFO     | __main__ | Processing sample 1800/4319...
2026-05-07 00:24:58 | INFO     | __main__ | Processing sample 1850/4319...
2026-05-07 00:27:49 | INFO     | __main__ | Processing sample 1900/4319...
2026-05-07 00:30:43 | INFO     | __main__ | Processing sample 1950/4319...
2026-05-07 00:33:31 | INFO     | __main__ | Processing sample 2000/4319...
2026-05-07 00:36:25 | INFO     | __main__ | Processing sample 2050/4319...
2026-05-07 00:39:16 | INFO     | __main__ | Processing sample 2100/4319...
2026-05-07 00:42:03 | INFO     | __main__ | Processing sample 2150/4319...
2026-05-07 00:44:48 | INFO     | __main__ | Processing sample 2200/4319...
2026-05-07 00:47:33 | INFO     | __main__ | Processing sample 2250/4319...
2026-05-07 00:50:18 | INFO     | __main__ | Processing sample 2300/4319...
2026-05-07 00:53:07 | INFO     | __main__ | Processing sample 2350/4319...
2026-05-07 00:56:00 | INFO     | __main__ | Processing sample 2400/4319...
2026-05-07 00:58:53 | INFO     | __main__ | Processing sample 2450/4319...
2026-05-07 01:01:37 | INFO     | __main__ | Processing sample 2500/4319...
2026-05-07 01:04:26 | INFO     | __main__ | Processing sample 2550/4319...
2026-05-07 01:07:16 | INFO     | __main__ | Processing sample 2600/4319...
2026-05-07 01:10:17 | INFO     | __main__ | Processing sample 2650/4319...
2026-05-07 01:13:15 | INFO     | __main__ | Processing sample 2700/4319...
2026-05-07 01:16:00 | INFO     | __main__ | Processing sample 2750/4319...
2026-05-07 01:18:48 | INFO     | __main__ | Processing sample 2800/4319...
2026-05-07 01:21:37 | INFO     | __main__ | Processing sample 2850/4319...
2026-05-07 01:24:30 | INFO     | __main__ | Processing sample 2900/4319...
2026-05-07 01:27:32 | INFO     | __main__ | Processing sample 2950/4319...
2026-05-07 01:30:24 | INFO     | __main__ | Processing sample 3000/4319...
2026-05-07 01:33:12 | INFO     | __main__ | Processing sample 3050/4319...
2026-05-07 01:36:08 | INFO     | __main__ | Processing sample 3100/4319...
2026-05-07 01:39:05 | INFO     | __main__ | Processing sample 3150/4319...
2026-05-07 01:41:55 | INFO     | __main__ | Processing sample 3200/4319...
2026-05-07 01:44:45 | INFO     | __main__ | Processing sample 3250/4319...
2026-05-07 01:47:43 | INFO     | __main__ | Processing sample 3300/4319...
2026-05-07 01:50:38 | INFO     | __main__ | Processing sample 3350/4319...
2026-05-07 01:53:32 | INFO     | __main__ | Processing sample 3400/4319...
2026-05-07 01:56:16 | INFO     | __main__ | Processing sample 3450/4319...
2026-05-07 01:59:29 | INFO     | __main__ | Processing sample 3500/4319...
2026-05-07 02:02:20 | INFO     | __main__ | Processing sample 3550/4319...
2026-05-07 02:05:06 | INFO     | __main__ | Processing sample 3600/4319...
2026-05-07 02:07:56 | INFO     | __main__ | Processing sample 3650/4319...
2026-05-07 02:10:42 | INFO     | __main__ | Processing sample 3700/4319...
2026-05-07 02:13:33 | INFO     | __main__ | Processing sample 3750/4319...
2026-05-07 02:16:22 | INFO     | __main__ | Processing sample 3800/4319...
2026-05-07 02:19:15 | INFO     | __main__ | Processing sample 3850/4319...
2026-05-07 02:22:04 | INFO     | __main__ | Processing sample 3900/4319...
2026-05-07 02:24:56 | INFO     | __main__ | Processing sample 3950/4319...
2026-05-07 02:27:47 | INFO     | __main__ | Processing sample 4000/4319...
2026-05-07 02:30:37 | INFO     | __main__ | Processing sample 4050/4319...
2026-05-07 02:33:47 | INFO     | __main__ | Processing sample 4100/4319...
2026-05-07 02:36:34 | INFO     | __main__ | Processing sample 4150/4319...
2026-05-07 02:39:24 | INFO     | __main__ | Processing sample 4200/4319...
2026-05-07 02:42:07 | INFO     | __main__ | Processing sample 4250/4319...
2026-05-07 02:44:59 | INFO     | __main__ | Processing sample 4300/4319...
2026-05-07 02:46:04 | INFO     | experiment.identifiability_alignment_ruined_vizwiz_gemma_vl | Experiment summary: {
  "dataset": "vizwiz",
  "model": "gemma_vl",
  "intervention": "alignment_ruined",
  "n_samples": 4319
}
2026-05-07 02:46:04 | INFO     | experiment.identifiability_alignment_ruined_vizwiz_gemma_vl | Summary saved to results/identifiability/alignment_ruined/gemma_vl/vizwiz.summary.json
2026-05-07 02:46:04 | INFO     | __main__ | Done. Results saved to: results/identifiability/alignment_ruined/gemma_vl/vizwiz.jsonl
