2026-05-05 04:51:41 | INFO     | src.utils.seed_control | Global seed set to 42
2026-05-05 04:51:41 | INFO     | src.utils.seed_control | NumPy seed set.
2026-05-05 04:51:41 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-05-05 04:51:44 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-05-05 04:51:44 | INFO     | __main__ | === Identifiability Run: dataset=vizwiz, model=llava_mistral, intervention=alignment_ruined ===
2026-05-05 04:51:44 | INFO     | src.data.loaders.base | [VizWizLoader] Loaded 4319 samples (split=val)
2026-05-05 04:51:44 | INFO     | __main__ | Loaded 4319 samples.
2026-05-05 04:51:44 | INFO     | src.models.llava_mistral | Loading LLaVA-1.6-Mistral model: /home/models/llava-v1.6-mistral-7b-hf
2026-05-05 04:51:44 | INFO     | src.models.llava_mistral | Pinning model to cuda:1
2026-05-05 04:51:48 | INFO     | src.models.llava_mistral | LLaVA-1.6-Mistral loaded. model=/home/models/llava-v1.6-mistral-7b-hf, device=cuda:1, dtype=float16
2026-05-05 04:51:48 | INFO     | __main__ | Model loaded.
2026-05-05 04:51:48 | INFO     | experiment.identifiability_alignment_ruined_vizwiz_llava_mistral | ExperimentLogger initialized: results/identifiability/alignment_ruined/llava_mistral/vizwiz.jsonl (experiment='identifiability_alignment_ruined_vizwiz_llava_mistral')
2026-05-05 04:51:48 | INFO     | __main__ | Processing sample 0/4319...
2026-05-05 04:55:19 | INFO     | __main__ | Processing sample 50/4319...
2026-05-05 04:58:53 | INFO     | __main__ | Processing sample 100/4319...
2026-05-05 05:02:29 | INFO     | __main__ | Processing sample 150/4319...
2026-05-05 05:06:06 | INFO     | __main__ | Processing sample 200/4319...
2026-05-05 05:09:42 | INFO     | __main__ | Processing sample 250/4319...
2026-05-05 05:13:16 | INFO     | __main__ | Processing sample 300/4319...
2026-05-05 05:16:49 | INFO     | __main__ | Processing sample 350/4319...
2026-05-05 05:20:24 | INFO     | __main__ | Processing sample 400/4319...
2026-05-05 05:23:56 | INFO     | __main__ | Processing sample 450/4319...
2026-05-05 05:27:33 | INFO     | __main__ | Processing sample 500/4319...
2026-05-05 05:31:04 | INFO     | __main__ | Processing sample 550/4319...
2026-05-05 05:34:40 | INFO     | __main__ | Processing sample 600/4319...
2026-05-05 05:38:10 | INFO     | __main__ | Processing sample 650/4319...
2026-05-05 05:41:39 | INFO     | __main__ | Processing sample 700/4319...
2026-05-05 05:45:14 | INFO     | __main__ | Processing sample 750/4319...
2026-05-05 05:48:47 | INFO     | __main__ | Processing sample 800/4319...
2026-05-05 05:52:19 | INFO     | __main__ | Processing sample 850/4319...
2026-05-05 05:55:52 | INFO     | __main__ | Processing sample 900/4319...
2026-05-05 05:59:20 | INFO     | __main__ | Processing sample 950/4319...
2026-05-05 06:02:54 | INFO     | __main__ | Processing sample 1000/4319...
2026-05-05 06:06:29 | INFO     | __main__ | Processing sample 1050/4319...
2026-05-05 06:09:59 | INFO     | __main__ | Processing sample 1100/4319...
2026-05-05 06:13:33 | INFO     | __main__ | Processing sample 1150/4319...
2026-05-05 06:17:03 | INFO     | __main__ | Processing sample 1200/4319...
2026-05-05 06:20:35 | INFO     | __main__ | Processing sample 1250/4319...
2026-05-05 06:24:06 | INFO     | __main__ | Processing sample 1300/4319...
2026-05-05 06:27:32 | INFO     | __main__ | Processing sample 1350/4319...
2026-05-05 06:31:00 | INFO     | __main__ | Processing sample 1400/4319...
2026-05-05 06:34:27 | INFO     | __main__ | Processing sample 1450/4319...
2026-05-05 06:37:56 | INFO     | __main__ | Processing sample 1500/4319...
2026-05-05 06:41:24 | INFO     | __main__ | Processing sample 1550/4319...
