2026-05-06 02:53:31 | INFO     | src.utils.seed_control | Global seed set to 42
2026-05-06 02:53:31 | INFO     | src.utils.seed_control | NumPy seed set.
2026-05-06 02:53:31 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-05-06 02:53:34 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-05-06 02:53:34 | INFO     | __main__ | === Identifiability Run: dataset=pope, model=qwen_vl, intervention=alignment_ruined ===
2026-05-06 02:53:34 | INFO     | src.data.loaders.base | [POPELoader] Loaded 9000 samples (split=all)
2026-05-06 02:53:34 | INFO     | __main__ | Loaded 9000 samples.
2026-05-06 02:53:34 | INFO     | src.models.qwen_vl | Loading Qwen3-VL model: /home/models/Qwen3-VL-8B-Instruct
2026-05-06 02:53:34 | INFO     | src.models.qwen_vl | Pinning model to cuda:1
2026-05-06 02:53:39 | INFO     | src.models.qwen_vl | Qwen3-VL loaded. model=/home/models/Qwen3-VL-8B-Instruct, device=cuda:1, dtype=bfloat16
2026-05-06 02:53:39 | INFO     | __main__ | Model loaded.
2026-05-06 02:53:39 | INFO     | experiment.identifiability_alignment_ruined_pope_qwen_vl | ExperimentLogger initialized: results/identifiability/alignment_ruined/qwen_vl/pope.jsonl (experiment='identifiability_alignment_ruined_pope_qwen_vl')
2026-05-06 02:53:39 | INFO     | __main__ | Processing sample 0/9000...
2026-05-06 02:55:24 | INFO     | __main__ | Processing sample 50/9000...
2026-05-06 02:57:04 | INFO     | __main__ | Processing sample 100/9000...
2026-05-06 02:58:49 | INFO     | __main__ | Processing sample 150/9000...
2026-05-06 03:00:31 | INFO     | __main__ | Processing sample 200/9000...
2026-05-06 03:02:12 | INFO     | __main__ | Processing sample 250/9000...
2026-05-06 03:03:57 | INFO     | __main__ | Processing sample 300/9000...
2026-05-06 03:05:51 | INFO     | __main__ | Processing sample 350/9000...
2026-05-06 03:07:42 | INFO     | __main__ | Processing sample 400/9000...
2026-05-06 03:09:28 | INFO     | __main__ | Processing sample 450/9000...
2026-05-06 03:11:26 | INFO     | __main__ | Processing sample 500/9000...
2026-05-06 03:13:14 | INFO     | __main__ | Processing sample 550/9000...
2026-05-06 03:14:59 | INFO     | __main__ | Processing sample 600/9000...
2026-05-06 03:16:48 | INFO     | __main__ | Processing sample 650/9000...
2026-05-06 03:18:37 | INFO     | __main__ | Processing sample 700/9000...
2026-05-06 03:20:24 | INFO     | __main__ | Processing sample 750/9000...
2026-05-06 03:22:05 | INFO     | __main__ | Processing sample 800/9000...
2026-05-06 03:23:54 | INFO     | __main__ | Processing sample 850/9000...
2026-05-06 03:25:39 | INFO     | __main__ | Processing sample 900/9000...
2026-05-06 03:27:24 | INFO     | __main__ | Processing sample 950/9000...
2026-05-06 03:29:09 | INFO     | __main__ | Processing sample 1000/9000...
2026-05-06 03:30:58 | INFO     | __main__ | Processing sample 1050/9000...
2026-05-06 03:32:45 | INFO     | __main__ | Processing sample 1100/9000...
2026-05-06 03:34:39 | INFO     | __main__ | Processing sample 1150/9000...
2026-05-06 03:36:29 | INFO     | __main__ | Processing sample 1200/9000...
2026-05-06 03:38:08 | INFO     | __main__ | Processing sample 1250/9000...
2026-05-06 03:39:54 | INFO     | __main__ | Processing sample 1300/9000...
2026-05-06 03:41:47 | INFO     | __main__ | Processing sample 1350/9000...
2026-05-06 03:43:37 | INFO     | __main__ | Processing sample 1400/9000...
2026-05-06 03:45:26 | INFO     | __main__ | Processing sample 1450/9000...
2026-05-06 03:47:12 | INFO     | __main__ | Processing sample 1500/9000...
2026-05-06 03:49:00 | INFO     | __main__ | Processing sample 1550/9000...
2026-05-06 03:50:52 | INFO     | __main__ | Processing sample 1600/9000...
2026-05-06 03:52:41 | INFO     | __main__ | Processing sample 1650/9000...
2026-05-06 03:54:31 | INFO     | __main__ | Processing sample 1700/9000...
2026-05-06 03:56:21 | INFO     | __main__ | Processing sample 1750/9000...
2026-05-06 03:58:11 | INFO     | __main__ | Processing sample 1800/9000...
2026-05-06 04:00:08 | INFO     | __main__ | Processing sample 1850/9000...
2026-05-06 04:01:55 | INFO     | __main__ | Processing sample 1900/9000...
2026-05-06 04:03:42 | INFO     | __main__ | Processing sample 1950/9000...
2026-05-06 04:05:40 | INFO     | __main__ | Processing sample 2000/9000...
2026-05-06 04:07:29 | INFO     | __main__ | Processing sample 2050/9000...
2026-05-06 04:09:18 | INFO     | __main__ | Processing sample 2100/9000...
2026-05-06 04:11:09 | INFO     | __main__ | Processing sample 2150/9000...
2026-05-06 04:12:58 | INFO     | __main__ | Processing sample 2200/9000...
2026-05-06 04:14:47 | INFO     | __main__ | Processing sample 2250/9000...
2026-05-06 04:16:38 | INFO     | __main__ | Processing sample 2300/9000...
2026-05-06 04:18:27 | INFO     | __main__ | Processing sample 2350/9000...
2026-05-06 04:20:18 | INFO     | __main__ | Processing sample 2400/9000...
2026-05-06 04:22:08 | INFO     | __main__ | Processing sample 2450/9000...
2026-05-06 04:23:57 | INFO     | __main__ | Processing sample 2500/9000...
2026-05-06 04:25:43 | INFO     | __main__ | Processing sample 2550/9000...
2026-05-06 04:27:28 | INFO     | __main__ | Processing sample 2600/9000...
2026-05-06 04:29:17 | INFO     | __main__ | Processing sample 2650/9000...
2026-05-06 04:30:53 | INFO     | __main__ | Processing sample 2700/9000...
2026-05-06 04:32:44 | INFO     | __main__ | Processing sample 2750/9000...
2026-05-06 04:34:34 | INFO     | __main__ | Processing sample 2800/9000...
2026-05-06 04:36:24 | INFO     | __main__ | Processing sample 2850/9000...
2026-05-06 04:38:14 | INFO     | __main__ | Processing sample 2900/9000...
2026-05-06 04:40:03 | INFO     | __main__ | Processing sample 2950/9000...
2026-05-06 04:41:53 | INFO     | __main__ | Processing sample 3000/9000...
2026-05-06 04:43:38 | INFO     | __main__ | Processing sample 3050/9000...
2026-05-06 04:45:18 | INFO     | __main__ | Processing sample 3100/9000...
2026-05-06 04:47:04 | INFO     | __main__ | Processing sample 3150/9000...
2026-05-06 04:48:46 | INFO     | __main__ | Processing sample 3200/9000...
2026-05-06 04:50:27 | INFO     | __main__ | Processing sample 3250/9000...
2026-05-06 04:52:12 | INFO     | __main__ | Processing sample 3300/9000...
2026-05-06 04:54:04 | INFO     | __main__ | Processing sample 3350/9000...
2026-05-06 04:55:54 | INFO     | __main__ | Processing sample 3400/9000...
2026-05-06 04:57:40 | INFO     | __main__ | Processing sample 3450/9000...
2026-05-06 04:59:37 | INFO     | __main__ | Processing sample 3500/9000...
2026-05-06 05:01:24 | INFO     | __main__ | Processing sample 3550/9000...
2026-05-06 05:03:11 | INFO     | __main__ | Processing sample 3600/9000...
2026-05-06 05:05:00 | INFO     | __main__ | Processing sample 3650/9000...
