2026-05-06 08:30:43 | INFO     | src.utils.seed_control | Global seed set to 42
2026-05-06 08:30:43 | INFO     | src.utils.seed_control | NumPy seed set.
2026-05-06 08:30:43 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-05-06 08:30:46 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-05-06 08:30:46 | INFO     | __main__ | === Identifiability Run: dataset=vizwiz, model=qwen_vl, intervention=alignment_ruined ===
2026-05-06 08:30:46 | INFO     | src.data.loaders.base | [VizWizLoader] Loaded 4319 samples (split=val)
2026-05-06 08:30:46 | INFO     | __main__ | Loaded 4319 samples.
2026-05-06 08:30:46 | INFO     | src.models.qwen_vl | Loading Qwen3-VL model: /home/models/Qwen3-VL-8B-Instruct
2026-05-06 08:30:46 | INFO     | src.models.qwen_vl | Pinning model to cuda:1
2026-05-06 08:30:51 | INFO     | src.models.qwen_vl | Qwen3-VL loaded. model=/home/models/Qwen3-VL-8B-Instruct, device=cuda:1, dtype=bfloat16
2026-05-06 08:30:51 | INFO     | __main__ | Model loaded.
2026-05-06 08:30:51 | INFO     | experiment.identifiability_alignment_ruined_vizwiz_qwen_vl | ExperimentLogger initialized: results/identifiability/alignment_ruined/qwen_vl/vizwiz.jsonl (experiment='identifiability_alignment_ruined_vizwiz_qwen_vl')
2026-05-06 08:30:51 | INFO     | __main__ | Processing sample 0/4319...
2026-05-06 08:35:44 | INFO     | __main__ | Processing sample 50/4319...
2026-05-06 08:41:05 | INFO     | __main__ | Processing sample 100/4319...
2026-05-06 08:46:30 | INFO     | __main__ | Processing sample 150/4319...
2026-05-06 08:51:55 | INFO     | __main__ | Processing sample 200/4319...
2026-05-06 08:57:12 | INFO     | __main__ | Processing sample 250/4319...
2026-05-06 09:01:29 | INFO     | __main__ | Processing sample 300/4319...
2026-05-06 09:06:48 | INFO     | __main__ | Processing sample 350/4319...
2026-05-06 09:11:36 | INFO     | __main__ | Processing sample 400/4319...
2026-05-06 09:15:40 | INFO     | __main__ | Processing sample 450/4319...
2026-05-06 09:19:48 | INFO     | __main__ | Processing sample 500/4319...
2026-05-06 09:23:52 | INFO     | __main__ | Processing sample 550/4319...
2026-05-06 09:28:03 | INFO     | __main__ | Processing sample 600/4319...
2026-05-06 09:31:51 | INFO     | __main__ | Processing sample 650/4319...
2026-05-06 09:35:41 | INFO     | __main__ | Processing sample 700/4319...
2026-05-06 09:39:49 | INFO     | __main__ | Processing sample 750/4319...
2026-05-06 09:43:46 | INFO     | __main__ | Processing sample 800/4319...
2026-05-06 09:47:42 | INFO     | __main__ | Processing sample 850/4319...
2026-05-06 09:52:04 | INFO     | __main__ | Processing sample 900/4319...
2026-05-06 09:56:07 | INFO     | __main__ | Processing sample 950/4319...
2026-05-06 10:00:29 | INFO     | __main__ | Processing sample 1000/4319...
2026-05-06 10:04:47 | INFO     | __main__ | Processing sample 1050/4319...
2026-05-06 10:08:43 | INFO     | __main__ | Processing sample 1100/4319...
2026-05-06 10:13:16 | INFO     | __main__ | Processing sample 1150/4319...
2026-05-06 10:17:25 | INFO     | __main__ | Processing sample 1200/4319...
2026-05-06 10:21:20 | INFO     | __main__ | Processing sample 1250/4319...
2026-05-06 10:25:44 | INFO     | __main__ | Processing sample 1300/4319...
2026-05-06 10:29:45 | INFO     | __main__ | Processing sample 1350/4319...
2026-05-06 10:34:19 | INFO     | __main__ | Processing sample 1400/4319...
2026-05-06 10:38:28 | INFO     | __main__ | Processing sample 1450/4319...
2026-05-06 10:43:11 | INFO     | __main__ | Processing sample 1500/4319...
2026-05-06 10:47:26 | INFO     | __main__ | Processing sample 1550/4319...
2026-05-06 10:51:59 | INFO     | __main__ | Processing sample 1600/4319...
2026-05-06 10:56:02 | INFO     | __main__ | Processing sample 1650/4319...
2026-05-06 11:00:02 | INFO     | __main__ | Processing sample 1700/4319...
2026-05-06 11:05:01 | INFO     | __main__ | Processing sample 1750/4319...
2026-05-06 11:09:52 | INFO     | __main__ | Processing sample 1800/4319...
2026-05-06 11:14:18 | INFO     | __main__ | Processing sample 1850/4319...
2026-05-06 11:19:17 | INFO     | __main__ | Processing sample 1900/4319...
2026-05-06 11:23:20 | INFO     | __main__ | Processing sample 1950/4319...
2026-05-06 11:27:31 | INFO     | __main__ | Processing sample 2000/4319...
2026-05-06 11:32:21 | INFO     | __main__ | Processing sample 2050/4319...
2026-05-06 11:37:10 | INFO     | __main__ | Processing sample 2100/4319...
2026-05-06 11:41:22 | INFO     | __main__ | Processing sample 2150/4319...
2026-05-06 11:45:32 | INFO     | __main__ | Processing sample 2200/4319...
2026-05-06 11:49:24 | INFO     | __main__ | Processing sample 2250/4319...
2026-05-06 11:53:12 | INFO     | __main__ | Processing sample 2300/4319...
2026-05-06 11:57:49 | INFO     | __main__ | Processing sample 2350/4319...
2026-05-06 12:01:57 | INFO     | __main__ | Processing sample 2400/4319...
