2026-05-01 14:53:07 | INFO     | src.utils.seed_control | Global seed set to 42
2026-05-01 14:53:07 | INFO     | src.utils.seed_control | NumPy seed set.
2026-05-01 14:53:07 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-05-01 14:53:10 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-05-01 14:53:10 | INFO     | __main__ | === Identifiability Run: dataset=pope, model=gemma_vl, intervention=language_ruined ===
2026-05-01 14:53:10 | INFO     | src.data.loaders.base | [POPELoader] Loaded 9000 samples (split=all)
2026-05-01 14:53:10 | INFO     | __main__ | Loaded 9000 samples.
2026-05-01 14:53:10 | INFO     | src.models.gemma_vl | Loading Gemma 4 model: /home/models/gemma-4-E4B-it
2026-05-01 14:53:10 | INFO     | src.models.gemma_vl | Pinning model to cuda:0
2026-05-01 14:53:17 | INFO     | src.models.gemma_vl | Gemma 4 loaded. model=/home/models/gemma-4-E4B-it, device=cuda:0, dtype=bfloat16
2026-05-01 14:53:17 | INFO     | __main__ | Model loaded.
2026-05-01 14:53:17 | INFO     | experiment.identifiability_language_ruined_pope_gemma_vl | ExperimentLogger initialized: results/identifiability/language_ruined/gemma_vl/pope.jsonl (experiment='identifiability_language_ruined_pope_gemma_vl')
2026-05-01 14:53:17 | INFO     | __main__ | Processing sample 0/9000...
2026-05-01 14:55:33 | INFO     | __main__ | Processing sample 50/9000...
2026-05-01 14:58:12 | INFO     | __main__ | Processing sample 100/9000...
2026-05-01 15:00:55 | INFO     | __main__ | Processing sample 150/9000...
2026-05-01 15:03:35 | INFO     | __main__ | Processing sample 200/9000...
2026-05-01 15:06:19 | INFO     | __main__ | Processing sample 250/9000...
2026-05-01 15:09:02 | INFO     | __main__ | Processing sample 300/9000...
2026-05-01 15:11:53 | INFO     | __main__ | Processing sample 350/9000...
2026-05-01 15:14:36 | INFO     | __main__ | Processing sample 400/9000...
2026-05-01 15:17:28 | INFO     | __main__ | Processing sample 450/9000...
2026-05-01 15:20:26 | INFO     | __main__ | Processing sample 500/9000...
2026-05-01 15:23:09 | INFO     | __main__ | Processing sample 550/9000...
2026-05-01 15:26:01 | INFO     | __main__ | Processing sample 600/9000...
2026-05-01 15:28:43 | INFO     | __main__ | Processing sample 650/9000...
2026-05-01 15:31:49 | INFO     | __main__ | Processing sample 700/9000...
2026-05-01 15:34:37 | INFO     | __main__ | Processing sample 750/9000...
2026-05-01 15:37:28 | INFO     | __main__ | Processing sample 800/9000...
2026-05-01 15:40:18 | INFO     | __main__ | Processing sample 850/9000...
2026-05-01 15:43:05 | INFO     | __main__ | Processing sample 900/9000...
2026-05-01 15:45:52 | INFO     | __main__ | Processing sample 950/9000...
2026-05-01 15:48:12 | INFO     | __main__ | Processing sample 1000/9000...
2026-05-01 15:50:27 | INFO     | __main__ | Processing sample 1050/9000...
2026-05-01 15:52:44 | INFO     | __main__ | Processing sample 1100/9000...
2026-05-01 15:54:58 | INFO     | __main__ | Processing sample 1150/9000...
2026-05-01 15:57:10 | INFO     | __main__ | Processing sample 1200/9000...
2026-05-01 15:59:33 | INFO     | __main__ | Processing sample 1250/9000...
2026-05-01 16:01:54 | INFO     | __main__ | Processing sample 1300/9000...
2026-05-01 16:04:11 | INFO     | __main__ | Processing sample 1350/9000...
2026-05-01 16:06:38 | INFO     | __main__ | Processing sample 1400/9000...
2026-05-01 16:08:55 | INFO     | __main__ | Processing sample 1450/9000...
2026-05-01 16:11:11 | INFO     | __main__ | Processing sample 1500/9000...
2026-05-01 16:13:26 | INFO     | __main__ | Processing sample 1550/9000...
2026-05-01 16:15:45 | INFO     | __main__ | Processing sample 1600/9000...
2026-05-01 16:17:59 | INFO     | __main__ | Processing sample 1650/9000...
2026-05-01 16:20:16 | INFO     | __main__ | Processing sample 1700/9000...
2026-05-01 16:22:34 | INFO     | __main__ | Processing sample 1750/9000...
2026-05-01 16:24:50 | INFO     | __main__ | Processing sample 1800/9000...
2026-05-01 16:27:05 | INFO     | __main__ | Processing sample 1850/9000...
2026-05-01 16:29:24 | INFO     | __main__ | Processing sample 1900/9000...
2026-05-01 16:31:42 | INFO     | __main__ | Processing sample 1950/9000...
2026-05-01 16:34:04 | INFO     | __main__ | Processing sample 2000/9000...
2026-05-01 16:36:22 | INFO     | __main__ | Processing sample 2050/9000...
2026-05-01 16:38:41 | INFO     | __main__ | Processing sample 2100/9000...
2026-05-01 16:41:01 | INFO     | __main__ | Processing sample 2150/9000...
2026-05-01 16:43:18 | INFO     | __main__ | Processing sample 2200/9000...
2026-05-01 16:45:32 | INFO     | __main__ | Processing sample 2250/9000...
2026-05-01 16:47:54 | INFO     | __main__ | Processing sample 2300/9000...
2026-05-01 16:50:11 | INFO     | __main__ | Processing sample 2350/9000...
2026-05-01 16:52:35 | INFO     | __main__ | Processing sample 2400/9000...
2026-05-01 16:55:01 | INFO     | __main__ | Processing sample 2450/9000...
2026-05-01 16:57:16 | INFO     | __main__ | Processing sample 2500/9000...
2026-05-01 16:59:32 | INFO     | __main__ | Processing sample 2550/9000...
2026-05-01 17:01:44 | INFO     | __main__ | Processing sample 2600/9000...
2026-05-01 17:04:06 | INFO     | __main__ | Processing sample 2650/9000...
2026-05-01 17:06:20 | INFO     | __main__ | Processing sample 2700/9000...
2026-05-01 17:08:44 | INFO     | __main__ | Processing sample 2750/9000...
2026-05-01 17:11:08 | INFO     | __main__ | Processing sample 2800/9000...
2026-05-01 17:13:26 | INFO     | __main__ | Processing sample 2850/9000...
2026-05-01 17:15:45 | INFO     | __main__ | Processing sample 2900/9000...
2026-05-01 17:18:27 | INFO     | __main__ | Processing sample 2950/9000...
2026-05-01 17:22:00 | INFO     | __main__ | Processing sample 3000/9000...
2026-05-01 17:25:32 | INFO     | __main__ | Processing sample 3050/9000...
2026-05-01 17:29:09 | INFO     | __main__ | Processing sample 3100/9000...
2026-05-01 17:32:36 | INFO     | __main__ | Processing sample 3150/9000...
2026-05-01 17:36:13 | INFO     | __main__ | Processing sample 3200/9000...
2026-05-03 17:18:21 | INFO     | src.utils.seed_control | Global seed set to 42
2026-05-03 17:18:21 | INFO     | src.utils.seed_control | NumPy seed set.
2026-05-03 17:18:21 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-05-03 17:18:42 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-05-03 17:18:42 | INFO     | __main__ | === Identifiability Run: dataset=pope, model=gemma_vl, intervention=language_ruined ===
2026-05-03 17:18:42 | INFO     | src.data.loaders.base | [POPELoader] Loaded 9000 samples (split=all)
2026-05-03 17:18:42 | INFO     | __main__ | Loaded 9000 samples.
2026-05-03 17:18:42 | INFO     | src.models.gemma_vl | Loading Gemma 4 model: /home/models/gemma-4-E4B-it
2026-05-03 17:18:42 | INFO     | src.models.gemma_vl | Pinning model to cuda:1
2026-05-03 17:21:08 | INFO     | src.models.gemma_vl | Gemma 4 loaded. model=/home/models/gemma-4-E4B-it, device=cuda:1, dtype=bfloat16
2026-05-03 17:21:08 | INFO     | __main__ | Model loaded.
2026-05-03 17:21:08 | INFO     | experiment.identifiability_language_ruined_pope_gemma_vl | ExperimentLogger initialized: results/identifiability/language_ruined/gemma_vl/pope.jsonl (experiment='identifiability_language_ruined_pope_gemma_vl')
2026-05-03 17:21:08 | INFO     | __main__ | Processing sample 0/9000...
2026-05-03 17:23:32 | INFO     | __main__ | Processing sample 50/9000...
2026-05-03 17:26:12 | INFO     | __main__ | Processing sample 100/9000...
2026-05-03 17:29:27 | INFO     | __main__ | Processing sample 150/9000...
2026-05-03 17:33:25 | INFO     | __main__ | Processing sample 200/9000...
2026-05-03 17:37:14 | INFO     | __main__ | Processing sample 250/9000...
2026-05-03 17:42:05 | INFO     | __main__ | Processing sample 300/9000...
2026-05-03 17:47:42 | INFO     | __main__ | Processing sample 350/9000...
2026-05-03 17:53:17 | INFO     | __main__ | Processing sample 400/9000...
2026-05-03 17:58:46 | INFO     | __main__ | Processing sample 450/9000...
2026-05-03 18:04:36 | INFO     | __main__ | Processing sample 500/9000...
2026-05-03 18:09:42 | INFO     | __main__ | Processing sample 550/9000...
2026-05-03 18:15:06 | INFO     | __main__ | Processing sample 600/9000...
2026-05-03 18:20:39 | INFO     | __main__ | Processing sample 650/9000...
2026-05-03 18:26:27 | INFO     | __main__ | Processing sample 700/9000...
2026-05-03 18:32:14 | INFO     | __main__ | Processing sample 750/9000...
2026-05-03 18:37:56 | INFO     | __main__ | Processing sample 800/9000...
2026-05-03 18:43:43 | INFO     | __main__ | Processing sample 850/9000...
2026-05-03 18:49:30 | INFO     | __main__ | Processing sample 900/9000...
2026-05-03 18:55:11 | INFO     | __main__ | Processing sample 950/9000...
2026-05-03 19:01:01 | INFO     | __main__ | Processing sample 1000/9000...
2026-05-03 19:06:42 | INFO     | __main__ | Processing sample 1050/9000...
2026-05-03 19:12:24 | INFO     | __main__ | Processing sample 1100/9000...
2026-05-03 19:17:54 | INFO     | __main__ | Processing sample 1150/9000...
2026-05-03 19:23:18 | INFO     | __main__ | Processing sample 1200/9000...
2026-05-03 19:29:14 | INFO     | __main__ | Processing sample 1250/9000...
2026-05-03 19:35:05 | INFO     | __main__ | Processing sample 1300/9000...
2026-05-03 19:40:49 | INFO     | __main__ | Processing sample 1350/9000...
2026-05-03 19:46:50 | INFO     | __main__ | Processing sample 1400/9000...
2026-05-03 19:52:32 | INFO     | __main__ | Processing sample 1450/9000...
2026-05-03 19:58:13 | INFO     | __main__ | Processing sample 1500/9000...
2026-05-03 20:03:52 | INFO     | __main__ | Processing sample 1550/9000...
2026-05-03 20:09:39 | INFO     | __main__ | Processing sample 1600/9000...
2026-05-03 20:15:19 | INFO     | __main__ | Processing sample 1650/9000...
2026-05-03 20:20:56 | INFO     | __main__ | Processing sample 1700/9000...
2026-05-03 20:26:39 | INFO     | __main__ | Processing sample 1750/9000...
2026-05-03 20:32:50 | INFO     | __main__ | Processing sample 1800/9000...
2026-05-03 20:38:53 | INFO     | __main__ | Processing sample 1850/9000...
2026-05-03 20:45:08 | INFO     | __main__ | Processing sample 1900/9000...
2026-05-03 20:51:23 | INFO     | __main__ | Processing sample 1950/9000...
2026-05-03 20:57:43 | INFO     | __main__ | Processing sample 2000/9000...
2026-05-03 21:03:57 | INFO     | __main__ | Processing sample 2050/9000...
2026-05-03 21:10:11 | INFO     | __main__ | Processing sample 2100/9000...
2026-05-03 21:16:29 | INFO     | __main__ | Processing sample 2150/9000...
2026-05-03 21:22:40 | INFO     | __main__ | Processing sample 2200/9000...
2026-05-03 21:28:48 | INFO     | __main__ | Processing sample 2250/9000...
2026-05-03 21:35:10 | INFO     | __main__ | Processing sample 2300/9000...
2026-05-03 21:41:22 | INFO     | __main__ | Processing sample 2350/9000...
2026-05-03 21:47:47 | INFO     | __main__ | Processing sample 2400/9000...
2026-05-03 21:54:16 | INFO     | __main__ | Processing sample 2450/9000...
2026-05-03 22:00:22 | INFO     | __main__ | Processing sample 2500/9000...
2026-05-03 22:06:35 | INFO     | __main__ | Processing sample 2550/9000...
2026-05-03 22:12:37 | INFO     | __main__ | Processing sample 2600/9000...
2026-05-03 22:17:47 | INFO     | __main__ | Processing sample 2650/9000...
2026-05-03 22:22:35 | INFO     | __main__ | Processing sample 2700/9000...
2026-05-03 22:27:39 | INFO     | __main__ | Processing sample 2750/9000...
2026-05-03 22:32:42 | INFO     | __main__ | Processing sample 2800/9000...
2026-05-03 22:37:37 | INFO     | __main__ | Processing sample 2850/9000...
2026-05-03 22:42:30 | INFO     | __main__ | Processing sample 2900/9000...
2026-05-03 22:47:18 | INFO     | __main__ | Processing sample 2950/9000...
2026-05-03 22:52:12 | INFO     | __main__ | Processing sample 3000/9000...
2026-05-03 22:57:07 | INFO     | __main__ | Processing sample 3050/9000...
2026-05-03 23:00:40 | INFO     | __main__ | Processing sample 3100/9000...
2026-05-03 23:04:04 | INFO     | __main__ | Processing sample 3150/9000...
2026-05-03 23:07:35 | INFO     | __main__ | Processing sample 3200/9000...
2026-05-03 23:11:03 | INFO     | __main__ | Processing sample 3250/9000...
2026-05-03 23:14:37 | INFO     | __main__ | Processing sample 3300/9000...
2026-05-03 23:18:03 | INFO     | __main__ | Processing sample 3350/9000...
2026-05-03 23:21:28 | INFO     | __main__ | Processing sample 3400/9000...
2026-05-03 23:24:57 | INFO     | __main__ | Processing sample 3450/9000...
2026-05-03 23:28:33 | INFO     | __main__ | Processing sample 3500/9000...
2026-05-03 23:31:53 | INFO     | __main__ | Processing sample 3550/9000...
2026-05-03 23:35:26 | INFO     | __main__ | Processing sample 3600/9000...
2026-05-03 23:38:47 | INFO     | __main__ | Processing sample 3650/9000...
2026-05-03 23:42:20 | INFO     | __main__ | Processing sample 3700/9000...
2026-05-03 23:45:52 | INFO     | __main__ | Processing sample 3750/9000...
2026-05-03 23:49:18 | INFO     | __main__ | Processing sample 3800/9000...
2026-05-03 23:52:51 | INFO     | __main__ | Processing sample 3850/9000...
2026-05-03 23:56:22 | INFO     | __main__ | Processing sample 3900/9000...
2026-05-03 23:59:52 | INFO     | __main__ | Processing sample 3950/9000...
2026-05-04 00:03:24 | INFO     | __main__ | Processing sample 4000/9000...
2026-05-04 00:06:51 | INFO     | __main__ | Processing sample 4050/9000...
2026-05-04 00:10:20 | INFO     | __main__ | Processing sample 4100/9000...
2026-05-04 00:13:48 | INFO     | __main__ | Processing sample 4150/9000...
2026-05-04 00:17:13 | INFO     | __main__ | Processing sample 4200/9000...
2026-05-04 00:19:50 | INFO     | __main__ | Processing sample 4250/9000...
2026-05-04 00:22:10 | INFO     | __main__ | Processing sample 4300/9000...
2026-05-04 00:24:24 | INFO     | __main__ | Processing sample 4350/9000...
2026-05-04 00:26:50 | INFO     | __main__ | Processing sample 4400/9000...
2026-05-04 00:29:04 | INFO     | __main__ | Processing sample 4450/9000...
2026-05-04 00:31:15 | INFO     | __main__ | Processing sample 4500/9000...
2026-05-04 00:33:30 | INFO     | __main__ | Processing sample 4550/9000...
2026-05-04 00:35:46 | INFO     | __main__ | Processing sample 4600/9000...
2026-05-04 00:37:59 | INFO     | __main__ | Processing sample 4650/9000...
2026-05-04 00:40:14 | INFO     | __main__ | Processing sample 4700/9000...
2026-05-04 00:42:29 | INFO     | __main__ | Processing sample 4750/9000...
2026-05-04 00:44:41 | INFO     | __main__ | Processing sample 4800/9000...
2026-05-04 00:46:55 | INFO     | __main__ | Processing sample 4850/9000...
2026-05-04 00:49:14 | INFO     | __main__ | Processing sample 4900/9000...
2026-05-04 00:51:32 | INFO     | __main__ | Processing sample 4950/9000...
2026-05-04 00:53:52 | INFO     | __main__ | Processing sample 5000/9000...
2026-05-04 00:56:06 | INFO     | __main__ | Processing sample 5050/9000...
2026-05-04 00:58:23 | INFO     | __main__ | Processing sample 5100/9000...
2026-05-04 01:00:42 | INFO     | __main__ | Processing sample 5150/9000...
2026-05-04 01:02:59 | INFO     | __main__ | Processing sample 5200/9000...
2026-05-04 01:05:12 | INFO     | __main__ | Processing sample 5250/9000...
2026-05-04 01:07:34 | INFO     | __main__ | Processing sample 5300/9000...
2026-05-04 01:09:49 | INFO     | __main__ | Processing sample 5350/9000...
2026-05-04 01:12:12 | INFO     | __main__ | Processing sample 5400/9000...
2026-05-04 01:14:36 | INFO     | __main__ | Processing sample 5450/9000...
2026-05-04 01:16:49 | INFO     | __main__ | Processing sample 5500/9000...
2026-05-04 01:19:02 | INFO     | __main__ | Processing sample 5550/9000...
2026-05-04 01:21:13 | INFO     | __main__ | Processing sample 5600/9000...
2026-05-04 01:23:35 | INFO     | __main__ | Processing sample 5650/9000...
2026-05-04 01:25:46 | INFO     | __main__ | Processing sample 5700/9000...
2026-05-04 01:28:06 | INFO     | __main__ | Processing sample 5750/9000...
2026-05-04 01:30:28 | INFO     | __main__ | Processing sample 5800/9000...
2026-05-04 01:32:45 | INFO     | __main__ | Processing sample 5850/9000...
2026-05-04 01:35:02 | INFO     | __main__ | Processing sample 5900/9000...
2026-05-04 01:37:14 | INFO     | __main__ | Processing sample 5950/9000...
2026-05-04 01:39:32 | INFO     | __main__ | Processing sample 6000/9000...
2026-05-04 01:41:49 | INFO     | __main__ | Processing sample 6050/9000...
2026-05-04 01:44:07 | INFO     | __main__ | Processing sample 6100/9000...
2026-05-04 01:46:18 | INFO     | __main__ | Processing sample 6150/9000...
2026-05-04 01:48:33 | INFO     | __main__ | Processing sample 6200/9000...
2026-05-04 01:50:48 | INFO     | __main__ | Processing sample 6250/9000...
2026-05-04 01:53:07 | INFO     | __main__ | Processing sample 6300/9000...
2026-05-04 01:55:18 | INFO     | __main__ | Processing sample 6350/9000...
2026-05-04 01:57:30 | INFO     | __main__ | Processing sample 6400/9000...
2026-05-04 01:59:47 | INFO     | __main__ | Processing sample 6450/9000...
2026-05-04 02:02:10 | INFO     | __main__ | Processing sample 6500/9000...
