2026-04-28 09:11:35 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-28 09:11:35 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-28 09:11:35 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-28 09:11:37 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-28 09:11:37 | INFO     | __main__ | === Identifiability Run: dataset=vizwiz, model=llava_mistral, intervention=language_ruined ===
2026-04-28 09:11:38 | INFO     | src.data.loaders.base | [VizWizLoader] Loaded 4319 samples (split=val)
2026-04-28 09:11:38 | INFO     | __main__ | Loaded 4319 samples.
2026-04-28 09:11:38 | INFO     | src.models.llava_mistral | Loading LLaVA-1.6-Mistral model: /home/models/llava-v1.6-mistral-7b-hf
2026-04-28 09:11:38 | INFO     | src.models.llava_mistral | Pinning model to cuda:0
2026-04-28 09:11:42 | INFO     | src.models.llava_mistral | LLaVA-1.6-Mistral loaded. model=/home/models/llava-v1.6-mistral-7b-hf, device=cuda:0, dtype=float16
2026-04-28 09:11:42 | INFO     | __main__ | Model loaded.
2026-04-28 09:11:42 | INFO     | experiment.identifiability_language_ruined_vizwiz_llava_mistral | ExperimentLogger initialized: results/identifiability/language_ruined/llava_mistral/vizwiz.jsonl (experiment='identifiability_language_ruined_vizwiz_llava_mistral')
2026-04-28 09:11:42 | INFO     | __main__ | Processing sample 0/4319...
2026-04-28 09:20:28 | INFO     | __main__ | Processing sample 50/4319...
2026-04-28 09:28:08 | INFO     | __main__ | Processing sample 100/4319...
2026-04-28 09:36:52 | INFO     | __main__ | Processing sample 150/4319...
2026-04-28 09:45:53 | INFO     | __main__ | Processing sample 200/4319...
2026-04-28 09:54:00 | INFO     | __main__ | Processing sample 250/4319...
2026-04-28 10:02:23 | INFO     | __main__ | Processing sample 300/4319...
2026-04-28 10:10:41 | INFO     | __main__ | Processing sample 350/4319...
2026-04-28 10:18:37 | INFO     | __main__ | Processing sample 400/4319...
2026-04-28 10:26:46 | INFO     | __main__ | Processing sample 450/4319...
