2026-04-28 22:03:59 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-28 22:04:02 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-28 22:04:03 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-28 22:08:00 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-28 22:08:00 | INFO     | __main__ | === Identifiability Run: dataset=pope, model=llava_vicuna, intervention=language_ruined ===
2026-04-28 22:08:00 | INFO     | src.data.loaders.base | [POPELoader] Loaded 9000 samples (split=all)
2026-04-28 22:08:00 | INFO     | __main__ | Loaded 9000 samples.
2026-04-28 22:08:00 | INFO     | src.models.llava_vicuna | Loading LLaVA-1.6-Vicuna model: /home/models/llava-v1.6-vicuna-7b-hf
2026-04-28 22:08:00 | INFO     | src.models.llava_vicuna | Pinning model to cuda:0
2026-04-28 23:42:59 | INFO     | src.models.llava_vicuna | LLaVA-1.6-Vicuna loaded. model=/home/models/llava-v1.6-vicuna-7b-hf, device=cuda:0, dtype=float16
2026-04-28 23:42:59 | INFO     | __main__ | Model loaded.
2026-04-28 23:43:00 | INFO     | experiment.identifiability_language_ruined_pope_llava_vicuna | ExperimentLogger initialized: results/identifiability/language_ruined/llava_vicuna/pope.jsonl (experiment='identifiability_language_ruined_pope_llava_vicuna')
2026-04-28 23:43:00 | INFO     | __main__ | Processing sample 0/9000...
2026-04-29 00:02:25 | INFO     | __main__ | Processing sample 50/9000...
2026-04-29 00:05:42 | INFO     | __main__ | Processing sample 100/9000...
2026-04-29 00:09:13 | INFO     | __main__ | Processing sample 150/9000...
2026-04-29 00:12:28 | INFO     | __main__ | Processing sample 200/9000...
2026-04-29 00:15:42 | INFO     | __main__ | Processing sample 250/9000...
2026-04-29 00:19:07 | INFO     | __main__ | Processing sample 300/9000...
2026-04-29 00:22:29 | INFO     | __main__ | Processing sample 350/9000...
2026-04-29 00:25:49 | INFO     | __main__ | Processing sample 400/9000...
2026-04-29 00:29:09 | INFO     | __main__ | Processing sample 450/9000...
2026-04-29 00:32:39 | INFO     | __main__ | Processing sample 500/9000...
2026-04-29 00:35:58 | INFO     | __main__ | Processing sample 550/9000...
2026-04-29 00:39:13 | INFO     | __main__ | Processing sample 600/9000...
2026-04-29 00:42:30 | INFO     | __main__ | Processing sample 650/9000...
2026-04-29 00:46:02 | INFO     | __main__ | Processing sample 700/9000...
2026-04-29 00:49:21 | INFO     | __main__ | Processing sample 750/9000...
2026-04-29 00:52:42 | INFO     | __main__ | Processing sample 800/9000...
2026-04-29 00:56:09 | INFO     | __main__ | Processing sample 850/9000...
2026-04-29 00:59:25 | INFO     | __main__ | Processing sample 900/9000...
2026-04-29 01:02:46 | INFO     | __main__ | Processing sample 950/9000...
2026-04-29 01:06:01 | INFO     | __main__ | Processing sample 1000/9000...
2026-04-29 01:09:20 | INFO     | __main__ | Processing sample 1050/9000...
2026-04-29 01:12:36 | INFO     | __main__ | Processing sample 1100/9000...
2026-04-29 01:15:59 | INFO     | __main__ | Processing sample 1150/9000...
2026-04-29 01:19:14 | INFO     | __main__ | Processing sample 1200/9000...
2026-04-29 01:22:10 | INFO     | __main__ | Processing sample 1250/9000...
2026-04-29 01:25:28 | INFO     | __main__ | Processing sample 1300/9000...
2026-04-29 01:28:46 | INFO     | __main__ | Processing sample 1350/9000...
2026-04-29 01:32:08 | INFO     | __main__ | Processing sample 1400/9000...
2026-04-29 01:35:32 | INFO     | __main__ | Processing sample 1450/9000...
2026-04-29 01:38:51 | INFO     | __main__ | Processing sample 1500/9000...
2026-04-29 01:42:12 | INFO     | __main__ | Processing sample 1550/9000...
2026-04-29 01:45:24 | INFO     | __main__ | Processing sample 1600/9000...
2026-04-29 01:48:48 | INFO     | __main__ | Processing sample 1650/9000...
2026-04-29 01:52:05 | INFO     | __main__ | Processing sample 1700/9000...
2026-04-29 01:55:28 | INFO     | __main__ | Processing sample 1750/9000...
2026-04-29 01:58:42 | INFO     | __main__ | Processing sample 1800/9000...
2026-04-29 02:02:16 | INFO     | __main__ | Processing sample 1850/9000...
2026-04-29 02:05:44 | INFO     | __main__ | Processing sample 1900/9000...
2026-04-29 02:08:57 | INFO     | __main__ | Processing sample 1950/9000...
2026-04-29 02:12:07 | INFO     | __main__ | Processing sample 2000/9000...
2026-04-29 02:15:22 | INFO     | __main__ | Processing sample 2050/9000...
2026-04-29 02:18:40 | INFO     | __main__ | Processing sample 2100/9000...
2026-04-29 02:21:52 | INFO     | __main__ | Processing sample 2150/9000...
2026-04-29 02:25:05 | INFO     | __main__ | Processing sample 2200/9000...
2026-04-29 02:28:17 | INFO     | __main__ | Processing sample 2250/9000...
2026-04-29 02:31:35 | INFO     | __main__ | Processing sample 2300/9000...
2026-04-29 02:34:48 | INFO     | __main__ | Processing sample 2350/9000...
2026-04-29 02:37:52 | INFO     | __main__ | Processing sample 2400/9000...
2026-04-29 02:41:20 | INFO     | __main__ | Processing sample 2450/9000...
2026-04-29 02:44:37 | INFO     | __main__ | Processing sample 2500/9000...
