2026-04-29 23:54:52 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-29 23:54:52 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-29 23:54:52 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-29 23:54:55 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-29 23:54:55 | INFO     | __main__ | === Identifiability Run: dataset=pope, model=qwen_vl, intervention=language_ruined ===
2026-04-29 23:54:55 | INFO     | src.data.loaders.base | [POPELoader] Loaded 9000 samples (split=all)
2026-04-29 23:54:55 | INFO     | __main__ | Loaded 9000 samples.
2026-04-29 23:54:56 | INFO     | src.models.qwen_vl | Loading Qwen3-VL model: /home/models/Qwen3-VL-8B-Instruct
2026-04-29 23:54:56 | INFO     | src.models.qwen_vl | Pinning model to cuda:0
2026-04-29 23:55:00 | INFO     | src.models.qwen_vl | Qwen3-VL loaded. model=/home/models/Qwen3-VL-8B-Instruct, device=cuda:0, dtype=bfloat16
2026-04-29 23:55:00 | INFO     | __main__ | Model loaded.
2026-04-29 23:55:00 | INFO     | experiment.identifiability_language_ruined_pope_qwen_vl | ExperimentLogger initialized: results/identifiability/language_ruined/qwen_vl/pope.jsonl (experiment='identifiability_language_ruined_pope_qwen_vl')
2026-04-29 23:55:00 | INFO     | __main__ | Processing sample 0/9000...
2026-04-29 23:56:56 | INFO     | __main__ | Processing sample 50/9000...
2026-04-29 23:58:40 | INFO     | __main__ | Processing sample 100/9000...
2026-04-30 00:00:28 | INFO     | __main__ | Processing sample 150/9000...
2026-04-30 00:02:11 | INFO     | __main__ | Processing sample 200/9000...
2026-04-30 00:03:58 | INFO     | __main__ | Processing sample 250/9000...
2026-04-30 00:05:46 | INFO     | __main__ | Processing sample 300/9000...
2026-04-30 00:07:40 | INFO     | __main__ | Processing sample 350/9000...
2026-04-30 00:09:34 | INFO     | __main__ | Processing sample 400/9000...
2026-04-30 00:11:28 | INFO     | __main__ | Processing sample 450/9000...
2026-04-30 00:13:30 | INFO     | __main__ | Processing sample 500/9000...
2026-04-30 00:15:21 | INFO     | __main__ | Processing sample 550/9000...
2026-04-30 00:17:12 | INFO     | __main__ | Processing sample 600/9000...
2026-04-30 00:19:01 | INFO     | __main__ | Processing sample 650/9000...
2026-04-30 00:21:01 | INFO     | __main__ | Processing sample 700/9000...
2026-04-30 00:22:54 | INFO     | __main__ | Processing sample 750/9000...
2026-04-30 00:24:41 | INFO     | __main__ | Processing sample 800/9000...
2026-04-30 00:26:35 | INFO     | __main__ | Processing sample 850/9000...
2026-04-30 00:28:26 | INFO     | __main__ | Processing sample 900/9000...
2026-04-30 00:30:23 | INFO     | __main__ | Processing sample 950/9000...
2026-04-30 00:32:15 | INFO     | __main__ | Processing sample 1000/9000...
2026-04-30 00:34:08 | INFO     | __main__ | Processing sample 1050/9000...
2026-04-30 00:36:05 | INFO     | __main__ | Processing sample 1100/9000...
2026-04-30 00:38:03 | INFO     | __main__ | Processing sample 1150/9000...
2026-04-30 00:39:58 | INFO     | __main__ | Processing sample 1200/9000...
2026-04-30 00:41:49 | INFO     | __main__ | Processing sample 1250/9000...
2026-04-30 00:43:39 | INFO     | __main__ | Processing sample 1300/9000...
2026-04-30 00:45:33 | INFO     | __main__ | Processing sample 1350/9000...
2026-04-30 00:47:23 | INFO     | __main__ | Processing sample 1400/9000...
2026-04-30 00:49:16 | INFO     | __main__ | Processing sample 1450/9000...
2026-04-30 00:51:08 | INFO     | __main__ | Processing sample 1500/9000...
2026-04-30 00:52:59 | INFO     | __main__ | Processing sample 1550/9000...
2026-04-30 00:54:50 | INFO     | __main__ | Processing sample 1600/9000...
2026-04-30 00:56:44 | INFO     | __main__ | Processing sample 1650/9000...
