2026-04-30 05:44:30 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-30 05:44:30 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-30 05:44:30 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-30 05:44:33 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-30 05:44:33 | INFO     | __main__ | === Identifiability Run: dataset=vizwiz, model=qwen_vl, intervention=language_ruined ===
2026-04-30 05:44:33 | INFO     | src.data.loaders.base | [VizWizLoader] Loaded 4319 samples (split=val)
2026-04-30 05:44:33 | INFO     | __main__ | Loaded 4319 samples.
2026-04-30 05:44:33 | INFO     | src.models.qwen_vl | Loading Qwen3-VL model: /home/models/Qwen3-VL-8B-Instruct
2026-04-30 05:44:33 | INFO     | src.models.qwen_vl | Pinning model to cuda:0
2026-04-30 05:44:38 | INFO     | src.models.qwen_vl | Qwen3-VL loaded. model=/home/models/Qwen3-VL-8B-Instruct, device=cuda:0, dtype=bfloat16
2026-04-30 05:44:38 | INFO     | __main__ | Model loaded.
2026-04-30 05:44:38 | INFO     | experiment.identifiability_language_ruined_vizwiz_qwen_vl | ExperimentLogger initialized: results/identifiability/language_ruined/qwen_vl/vizwiz.jsonl (experiment='identifiability_language_ruined_vizwiz_qwen_vl')
2026-04-30 05:44:38 | INFO     | __main__ | Processing sample 0/4319...
2026-04-30 06:07:16 | INFO     | __main__ | Processing sample 50/4319...
2026-04-30 06:30:25 | INFO     | __main__ | Processing sample 100/4319...
2026-04-30 06:54:20 | INFO     | __main__ | Processing sample 150/4319...
2026-04-30 07:18:14 | INFO     | __main__ | Processing sample 200/4319...
2026-04-30 07:41:23 | INFO     | __main__ | Processing sample 250/4319...
2026-04-30 08:03:38 | INFO     | __main__ | Processing sample 300/4319...
2026-04-30 08:26:22 | INFO     | __main__ | Processing sample 350/4319...
2026-04-30 08:48:39 | INFO     | __main__ | Processing sample 400/4319...
2026-04-30 09:10:12 | INFO     | __main__ | Processing sample 450/4319...
2026-04-30 09:31:26 | INFO     | __main__ | Processing sample 500/4319...
2026-04-30 09:52:24 | INFO     | __main__ | Processing sample 550/4319...
2026-04-30 10:13:40 | INFO     | __main__ | Processing sample 600/4319...
2026-04-30 10:35:29 | INFO     | __main__ | Processing sample 650/4319...
2026-04-30 10:56:24 | INFO     | __main__ | Processing sample 700/4319...
2026-04-30 11:18:22 | INFO     | __main__ | Processing sample 750/4319...
2026-04-30 11:40:39 | INFO     | __main__ | Processing sample 800/4319...
2026-04-30 12:02:54 | INFO     | __main__ | Processing sample 850/4319...
2026-04-30 12:25:09 | INFO     | __main__ | Processing sample 900/4319...
2026-04-30 12:47:26 | INFO     | __main__ | Processing sample 950/4319...
2026-04-30 13:09:10 | INFO     | __main__ | Processing sample 1000/4319...
2026-04-30 13:31:05 | INFO     | __main__ | Processing sample 1050/4319...
2026-04-30 13:52:17 | INFO     | __main__ | Processing sample 1100/4319...
2026-04-30 14:14:58 | INFO     | __main__ | Processing sample 1150/4319...
2026-04-30 14:36:36 | INFO     | __main__ | Processing sample 1200/4319...
2026-04-30 14:58:56 | INFO     | __main__ | Processing sample 1250/4319...
2026-04-30 15:22:27 | INFO     | __main__ | Processing sample 1300/4319...
2026-04-30 15:44:06 | INFO     | __main__ | Processing sample 1350/4319...
2026-04-30 16:06:16 | INFO     | __main__ | Processing sample 1400/4319...
2026-04-30 16:28:11 | INFO     | __main__ | Processing sample 1450/4319...
2026-04-30 16:50:31 | INFO     | __main__ | Processing sample 1500/4319...
2026-04-30 17:13:19 | INFO     | __main__ | Processing sample 1550/4319...
2026-04-30 17:35:43 | INFO     | __main__ | Processing sample 1600/4319...
2026-04-30 17:57:31 | INFO     | __main__ | Processing sample 1650/4319...
2026-04-30 18:19:36 | INFO     | __main__ | Processing sample 1700/4319...
2026-04-30 18:42:18 | INFO     | __main__ | Processing sample 1750/4319...
2026-04-30 19:04:28 | INFO     | __main__ | Processing sample 1800/4319...
2026-04-30 19:27:24 | INFO     | __main__ | Processing sample 1850/4319...
2026-04-30 19:49:21 | INFO     | __main__ | Processing sample 1900/4319...
2026-04-30 20:10:43 | INFO     | __main__ | Processing sample 1950/4319...
2026-04-30 20:32:59 | INFO     | __main__ | Processing sample 2000/4319...
2026-04-30 20:55:51 | INFO     | __main__ | Processing sample 2050/4319...
2026-04-30 21:18:54 | INFO     | __main__ | Processing sample 2100/4319...
2026-04-30 21:40:58 | INFO     | __main__ | Processing sample 2150/4319...
2026-04-30 22:02:22 | INFO     | __main__ | Processing sample 2200/4319...
2026-04-30 22:23:45 | INFO     | __main__ | Processing sample 2250/4319...
2026-04-30 22:45:32 | INFO     | __main__ | Processing sample 2300/4319...
2026-04-30 23:09:17 | INFO     | __main__ | Processing sample 2350/4319...
2026-04-30 23:31:53 | INFO     | __main__ | Processing sample 2400/4319...
2026-04-30 23:54:32 | INFO     | __main__ | Processing sample 2450/4319...
2026-05-01 00:16:16 | INFO     | __main__ | Processing sample 2500/4319...
2026-05-01 00:37:40 | INFO     | __main__ | Processing sample 2550/4319...
2026-05-01 01:00:13 | INFO     | __main__ | Processing sample 2600/4319...
2026-05-01 01:22:39 | INFO     | __main__ | Processing sample 2650/4319...
2026-05-01 01:45:03 | INFO     | __main__ | Processing sample 2700/4319...
2026-05-01 02:07:07 | INFO     | __main__ | Processing sample 2750/4319...
2026-05-01 02:29:54 | INFO     | __main__ | Processing sample 2800/4319...
2026-05-01 02:51:17 | INFO     | __main__ | Processing sample 2850/4319...
2026-05-01 03:14:05 | INFO     | __main__ | Processing sample 2900/4319...
2026-05-01 03:36:27 | INFO     | __main__ | Processing sample 2950/4319...
2026-05-01 03:59:15 | INFO     | __main__ | Processing sample 3000/4319...
2026-05-01 04:21:28 | INFO     | __main__ | Processing sample 3050/4319...
2026-05-01 04:43:44 | INFO     | __main__ | Processing sample 3100/4319...
2026-05-01 05:05:49 | INFO     | __main__ | Processing sample 3150/4319...
