2026-04-27 09:12:37 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-27 09:12:37 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-27 09:12:37 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-27 09:12:41 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-27 09:12:41 | INFO     | __main__ | === Identifiability Run: dataset=pope, model=gemma_vl, intervention=visual_ruined ===
2026-04-27 09:12:41 | INFO     | src.data.loaders.base | [POPELoader] Loaded 9000 samples (split=all)
2026-04-27 09:12:41 | INFO     | __main__ | Loaded 9000 samples.
2026-04-27 09:12:41 | INFO     | src.models.gemma_vl | Loading Gemma 4 model: /home/models/gemma-4-E4B-it
2026-04-27 09:12:41 | INFO     | src.models.gemma_vl | Pinning model to cuda:0
2026-04-27 09:12:49 | INFO     | src.models.gemma_vl | Gemma 4 loaded. model=/home/models/gemma-4-E4B-it, device=cuda:0, dtype=bfloat16
2026-04-27 09:12:49 | INFO     | __main__ | Model loaded.
2026-04-27 09:12:49 | INFO     | experiment.identifiability_visual_ruined_pope_gemma_vl | ExperimentLogger initialized: results/identifiability/visual_ruined/gemma_vl/pope.jsonl (experiment='identifiability_visual_ruined_pope_gemma_vl')
2026-04-27 09:12:49 | INFO     | __main__ | Processing sample 0/9000...
2026-04-27 09:16:00 | INFO     | __main__ | Processing sample 50/9000...
2026-04-27 09:19:07 | INFO     | __main__ | Processing sample 100/9000...
2026-04-27 09:22:15 | INFO     | __main__ | Processing sample 150/9000...
2026-04-27 09:25:19 | INFO     | __main__ | Processing sample 200/9000...
2026-04-27 09:28:30 | INFO     | __main__ | Processing sample 250/9000...
2026-04-27 09:31:30 | INFO     | __main__ | Processing sample 300/9000...
2026-04-27 09:34:18 | INFO     | __main__ | Processing sample 350/9000...
2026-04-27 09:37:09 | INFO     | __main__ | Processing sample 400/9000...
2026-04-27 09:40:07 | INFO     | __main__ | Processing sample 450/9000...
2026-04-27 09:43:08 | INFO     | __main__ | Processing sample 500/9000...
2026-04-27 09:46:14 | INFO     | __main__ | Processing sample 550/9000...
2026-04-27 09:49:09 | INFO     | __main__ | Processing sample 600/9000...
2026-04-27 09:52:31 | INFO     | __main__ | Processing sample 650/9000...
2026-04-27 09:55:29 | INFO     | __main__ | Processing sample 700/9000...
2026-04-27 09:58:18 | INFO     | __main__ | Processing sample 750/9000...
2026-04-27 10:01:27 | INFO     | __main__ | Processing sample 800/9000...
2026-04-27 10:04:23 | INFO     | __main__ | Processing sample 850/9000...
2026-04-27 10:07:28 | INFO     | __main__ | Processing sample 900/9000...
2026-04-27 10:10:29 | INFO     | __main__ | Processing sample 950/9000...
2026-04-27 10:13:37 | INFO     | __main__ | Processing sample 1000/9000...
2026-04-27 10:16:27 | INFO     | __main__ | Processing sample 1050/9000...
2026-04-27 10:19:18 | INFO     | __main__ | Processing sample 1100/9000...
2026-04-27 10:22:12 | INFO     | __main__ | Processing sample 1150/9000...
2026-04-27 10:25:13 | INFO     | __main__ | Processing sample 1200/9000...
2026-04-27 10:28:05 | INFO     | __main__ | Processing sample 1250/9000...
2026-04-27 10:30:58 | INFO     | __main__ | Processing sample 1300/9000...
2026-04-27 10:33:50 | INFO     | __main__ | Processing sample 1350/9000...
2026-04-27 10:36:45 | INFO     | __main__ | Processing sample 1400/9000...
2026-04-27 10:39:34 | INFO     | __main__ | Processing sample 1450/9000...
2026-04-27 10:42:39 | INFO     | __main__ | Processing sample 1500/9000...
2026-04-27 10:45:33 | INFO     | __main__ | Processing sample 1550/9000...
2026-04-27 10:48:24 | INFO     | __main__ | Processing sample 1600/9000...
2026-04-27 10:51:19 | INFO     | __main__ | Processing sample 1650/9000...
2026-04-27 10:54:17 | INFO     | __main__ | Processing sample 1700/9000...
2026-04-27 10:57:10 | INFO     | __main__ | Processing sample 1750/9000...
2026-04-27 11:00:10 | INFO     | __main__ | Processing sample 1800/9000...
2026-04-27 11:03:08 | INFO     | __main__ | Processing sample 1850/9000...
2026-04-27 11:06:09 | INFO     | __main__ | Processing sample 1900/9000...
2026-04-27 11:09:13 | INFO     | __main__ | Processing sample 1950/9000...
2026-04-27 11:12:10 | INFO     | __main__ | Processing sample 2000/9000...
2026-04-27 11:15:03 | INFO     | __main__ | Processing sample 2050/9000...
2026-04-27 11:17:52 | INFO     | __main__ | Processing sample 2100/9000...
2026-04-27 11:20:53 | INFO     | __main__ | Processing sample 2150/9000...
2026-04-27 11:23:45 | INFO     | __main__ | Processing sample 2200/9000...
2026-04-27 11:26:36 | INFO     | __main__ | Processing sample 2250/9000...
2026-04-27 11:29:33 | INFO     | __main__ | Processing sample 2300/9000...
2026-04-27 11:32:29 | INFO     | __main__ | Processing sample 2350/9000...
2026-04-27 11:35:22 | INFO     | __main__ | Processing sample 2400/9000...
2026-04-27 11:38:14 | INFO     | __main__ | Processing sample 2450/9000...
2026-04-27 11:41:21 | INFO     | __main__ | Processing sample 2500/9000...
2026-04-27 11:44:12 | INFO     | __main__ | Processing sample 2550/9000...
2026-04-27 11:47:03 | INFO     | __main__ | Processing sample 2600/9000...
2026-04-27 11:49:53 | INFO     | __main__ | Processing sample 2650/9000...
2026-04-27 11:52:57 | INFO     | __main__ | Processing sample 2700/9000...
2026-04-27 11:56:00 | INFO     | __main__ | Processing sample 2750/9000...
2026-04-27 11:58:55 | INFO     | __main__ | Processing sample 2800/9000...
2026-04-27 12:01:40 | INFO     | __main__ | Processing sample 2850/9000...
2026-04-27 12:04:35 | INFO     | __main__ | Processing sample 2900/9000...
2026-04-27 12:07:30 | INFO     | __main__ | Processing sample 2950/9000...
2026-04-27 12:10:20 | INFO     | __main__ | Processing sample 3000/9000...
2026-04-27 12:13:19 | INFO     | __main__ | Processing sample 3050/9000...
2026-04-27 12:16:16 | INFO     | __main__ | Processing sample 3100/9000...
2026-04-27 12:19:15 | INFO     | __main__ | Processing sample 3150/9000...
2026-04-27 12:22:08 | INFO     | __main__ | Processing sample 3200/9000...
2026-04-27 12:25:08 | INFO     | __main__ | Processing sample 3250/9000...
2026-04-27 12:28:08 | INFO     | __main__ | Processing sample 3300/9000...
2026-04-27 12:30:59 | INFO     | __main__ | Processing sample 3350/9000...
2026-04-27 12:33:44 | INFO     | __main__ | Processing sample 3400/9000...
2026-04-27 12:36:46 | INFO     | __main__ | Processing sample 3450/9000...
2026-04-27 12:39:39 | INFO     | __main__ | Processing sample 3500/9000...
2026-04-27 12:42:37 | INFO     | __main__ | Processing sample 3550/9000...
2026-04-27 12:45:28 | INFO     | __main__ | Processing sample 3600/9000...
2026-04-27 12:48:24 | INFO     | __main__ | Processing sample 3650/9000...
2026-04-27 12:51:16 | INFO     | __main__ | Processing sample 3700/9000...
2026-04-27 12:54:10 | INFO     | __main__ | Processing sample 3750/9000...
2026-04-27 12:57:09 | INFO     | __main__ | Processing sample 3800/9000...
2026-04-27 12:59:27 | INFO     | __main__ | Processing sample 3850/9000...
2026-04-27 13:01:38 | INFO     | __main__ | Processing sample 3900/9000...
2026-04-27 13:03:53 | INFO     | __main__ | Processing sample 3950/9000...
2026-04-27 13:06:02 | INFO     | __main__ | Processing sample 4000/9000...
2026-04-27 13:08:12 | INFO     | __main__ | Processing sample 4050/9000...
2026-04-27 13:10:23 | INFO     | __main__ | Processing sample 4100/9000...
2026-04-27 13:12:36 | INFO     | __main__ | Processing sample 4150/9000...
2026-04-27 13:14:54 | INFO     | __main__ | Processing sample 4200/9000...
2026-04-27 13:17:03 | INFO     | __main__ | Processing sample 4250/9000...
2026-04-27 13:19:14 | INFO     | __main__ | Processing sample 4300/9000...
2026-04-27 13:21:28 | INFO     | __main__ | Processing sample 4350/9000...
2026-04-27 13:23:51 | INFO     | __main__ | Processing sample 4400/9000...
2026-04-27 13:26:31 | INFO     | __main__ | Processing sample 4450/9000...
2026-04-27 13:29:29 | INFO     | __main__ | Processing sample 4500/9000...
2026-04-27 13:32:22 | INFO     | __main__ | Processing sample 4550/9000...
2026-04-27 13:35:12 | INFO     | __main__ | Processing sample 4600/9000...
2026-04-27 13:38:17 | INFO     | __main__ | Processing sample 4650/9000...
2026-04-27 13:41:16 | INFO     | __main__ | Processing sample 4700/9000...
2026-04-27 13:44:22 | INFO     | __main__ | Processing sample 4750/9000...
2026-04-27 13:47:22 | INFO     | __main__ | Processing sample 4800/9000...
2026-04-27 13:50:23 | INFO     | __main__ | Processing sample 4850/9000...
