2026-04-27 17:10:31 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-27 17:10:31 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-27 17:10:31 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-27 17:10:34 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-27 17:10:34 | INFO     | __main__ | === Identifiability Run: dataset=vizwiz, model=gemma_vl, intervention=visual_ruined ===
2026-04-27 17:10:34 | INFO     | src.data.loaders.base | [VizWizLoader] Loaded 4319 samples (split=val)
2026-04-27 17:10:34 | INFO     | __main__ | Loaded 4319 samples.
2026-04-27 17:10:34 | INFO     | src.models.gemma_vl | Loading Gemma 4 model: /home/models/gemma-4-E4B-it
2026-04-27 17:10:34 | INFO     | src.models.gemma_vl | Pinning model to cuda:0
2026-04-27 17:10:40 | INFO     | src.models.gemma_vl | Gemma 4 loaded. model=/home/models/gemma-4-E4B-it, device=cuda:0, dtype=bfloat16
2026-04-27 17:10:40 | INFO     | __main__ | Model loaded.
2026-04-27 17:10:40 | INFO     | experiment.identifiability_visual_ruined_vizwiz_gemma_vl | ExperimentLogger initialized: results/identifiability/visual_ruined/gemma_vl/vizwiz.jsonl (experiment='identifiability_visual_ruined_vizwiz_gemma_vl')
2026-04-27 17:10:40 | INFO     | __main__ | Processing sample 0/4319...
2026-04-27 17:13:37 | INFO     | __main__ | Processing sample 50/4319...
2026-04-27 17:16:34 | INFO     | __main__ | Processing sample 100/4319...
2026-04-27 17:19:28 | INFO     | __main__ | Processing sample 150/4319...
2026-04-27 17:22:26 | INFO     | __main__ | Processing sample 200/4319...
2026-04-27 17:25:23 | INFO     | __main__ | Processing sample 250/4319...
2026-04-27 17:28:16 | INFO     | __main__ | Processing sample 300/4319...
2026-04-27 17:31:12 | INFO     | __main__ | Processing sample 350/4319...
2026-04-27 17:34:05 | INFO     | __main__ | Processing sample 400/4319...
2026-04-27 17:36:59 | INFO     | __main__ | Processing sample 450/4319...
2026-04-27 17:39:53 | INFO     | __main__ | Processing sample 500/4319...
2026-04-27 17:42:45 | INFO     | __main__ | Processing sample 550/4319...
2026-04-27 17:45:46 | INFO     | __main__ | Processing sample 600/4319...
2026-04-27 17:48:38 | INFO     | __main__ | Processing sample 650/4319...
2026-04-27 17:51:32 | INFO     | __main__ | Processing sample 700/4319...
2026-04-27 17:54:29 | INFO     | __main__ | Processing sample 750/4319...
2026-04-27 17:57:18 | INFO     | __main__ | Processing sample 800/4319...
2026-04-27 18:00:13 | INFO     | __main__ | Processing sample 850/4319...
2026-04-27 18:03:08 | INFO     | __main__ | Processing sample 900/4319...
2026-04-27 18:05:57 | INFO     | __main__ | Processing sample 950/4319...
