2026-04-25 20:51:06 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-25 20:51:06 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-25 20:51:06 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-25 20:51:10 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-25 20:51:10 | INFO     | __main__ | === Identifiability Run: dataset=vizwiz, model=llava_mistral, intervention=visual_ruined ===
2026-04-25 20:51:10 | INFO     | src.data.loaders.base | [VizWizLoader] Loaded 4319 samples (split=val)
2026-04-25 20:51:10 | INFO     | __main__ | Loaded 4319 samples.
2026-04-25 20:51:10 | INFO     | src.models.llava_mistral | Loading LLaVA-1.6-Mistral model: /home/models/llava-v1.6-mistral-7b-hf
2026-04-25 20:51:10 | INFO     | src.models.llava_mistral | Pinning model to cuda:0
2026-04-25 20:51:14 | INFO     | src.models.llava_mistral | LLaVA-1.6-Mistral loaded. model=/home/models/llava-v1.6-mistral-7b-hf, device=cuda:0, dtype=float16
2026-04-25 20:51:14 | INFO     | __main__ | Model loaded.
2026-04-25 20:51:14 | INFO     | experiment.identifiability_visual_ruined_vizwiz_llava_mistral | ExperimentLogger initialized: results/identifiability/visual_ruined/llava_mistral/vizwiz.jsonl (experiment='identifiability_visual_ruined_vizwiz_llava_mistral')
2026-04-25 20:51:14 | INFO     | __main__ | Processing sample 0/4319...
2026-04-25 20:55:11 | INFO     | __main__ | Processing sample 50/4319...
2026-04-25 20:59:10 | INFO     | __main__ | Processing sample 100/4319...
2026-04-25 21:03:10 | INFO     | __main__ | Processing sample 150/4319...
2026-04-25 21:07:11 | INFO     | __main__ | Processing sample 200/4319...
2026-04-25 21:11:12 | INFO     | __main__ | Processing sample 250/4319...
2026-04-25 21:15:13 | INFO     | __main__ | Processing sample 300/4319...
2026-04-25 21:19:16 | INFO     | __main__ | Processing sample 350/4319...
2026-04-25 21:23:17 | INFO     | __main__ | Processing sample 400/4319...
2026-04-25 21:27:15 | INFO     | __main__ | Processing sample 450/4319...
2026-04-25 21:31:13 | INFO     | __main__ | Processing sample 500/4319...
2026-04-25 21:35:09 | INFO     | __main__ | Processing sample 550/4319...
2026-04-25 21:39:07 | INFO     | __main__ | Processing sample 600/4319...
2026-04-25 21:43:04 | INFO     | __main__ | Processing sample 650/4319...
2026-04-25 21:47:01 | INFO     | __main__ | Processing sample 700/4319...
2026-04-25 21:50:45 | INFO     | __main__ | Processing sample 750/4319...
2026-04-25 21:54:42 | INFO     | __main__ | Processing sample 800/4319...
2026-04-25 21:58:43 | INFO     | __main__ | Processing sample 850/4319...
2026-04-25 22:02:42 | INFO     | __main__ | Processing sample 900/4319...
2026-04-25 22:06:25 | INFO     | __main__ | Processing sample 950/4319...
2026-04-25 22:10:03 | INFO     | __main__ | Processing sample 1000/4319...
2026-04-25 22:13:40 | INFO     | __main__ | Processing sample 1050/4319...
2026-04-25 22:17:15 | INFO     | __main__ | Processing sample 1100/4319...
2026-04-25 22:20:57 | INFO     | __main__ | Processing sample 1150/4319...
2026-04-25 22:24:34 | INFO     | __main__ | Processing sample 1200/4319...
2026-04-25 22:28:09 | INFO     | __main__ | Processing sample 1250/4319...
2026-04-25 22:31:47 | INFO     | __main__ | Processing sample 1300/4319...
2026-04-25 22:35:20 | INFO     | __main__ | Processing sample 1350/4319...
2026-04-25 22:38:57 | INFO     | __main__ | Processing sample 1400/4319...
2026-04-25 22:42:31 | INFO     | __main__ | Processing sample 1450/4319...
2026-04-25 22:46:08 | INFO     | __main__ | Processing sample 1500/4319...
2026-04-25 22:49:42 | INFO     | __main__ | Processing sample 1550/4319...
2026-04-25 22:53:18 | INFO     | __main__ | Processing sample 1600/4319...
2026-04-25 22:56:54 | INFO     | __main__ | Processing sample 1650/4319...
2026-04-25 23:00:30 | INFO     | __main__ | Processing sample 1700/4319...
2026-04-25 23:04:09 | INFO     | __main__ | Processing sample 1750/4319...
2026-04-25 23:07:49 | INFO     | __main__ | Processing sample 1800/4319...
2026-04-25 23:11:25 | INFO     | __main__ | Processing sample 1850/4319...
2026-04-25 23:15:03 | INFO     | __main__ | Processing sample 1900/4319...
2026-04-25 23:18:39 | INFO     | __main__ | Processing sample 1950/4319...
2026-04-25 23:22:14 | INFO     | __main__ | Processing sample 2000/4319...
2026-04-25 23:25:50 | INFO     | __main__ | Processing sample 2050/4319...
2026-04-25 23:29:27 | INFO     | __main__ | Processing sample 2100/4319...
2026-04-25 23:33:01 | INFO     | __main__ | Processing sample 2150/4319...
2026-04-25 23:36:38 | INFO     | __main__ | Processing sample 2200/4319...
2026-04-25 23:40:14 | INFO     | __main__ | Processing sample 2250/4319...
2026-04-25 23:43:48 | INFO     | __main__ | Processing sample 2300/4319...
2026-04-25 23:47:24 | INFO     | __main__ | Processing sample 2350/4319...
2026-04-25 23:51:00 | INFO     | __main__ | Processing sample 2400/4319...
2026-04-25 23:54:39 | INFO     | __main__ | Processing sample 2450/4319...
2026-04-25 23:58:15 | INFO     | __main__ | Processing sample 2500/4319...
2026-04-26 00:01:51 | INFO     | __main__ | Processing sample 2550/4319...
2026-04-26 00:05:27 | INFO     | __main__ | Processing sample 2600/4319...
2026-04-26 00:09:05 | INFO     | __main__ | Processing sample 2650/4319...
2026-04-26 00:12:41 | INFO     | __main__ | Processing sample 2700/4319...
2026-04-26 00:16:14 | INFO     | __main__ | Processing sample 2750/4319...
2026-04-26 00:19:49 | INFO     | __main__ | Processing sample 2800/4319...
2026-04-26 00:23:24 | INFO     | __main__ | Processing sample 2850/4319...
2026-04-26 00:27:01 | INFO     | __main__ | Processing sample 2900/4319...
2026-04-26 00:30:39 | INFO     | __main__ | Processing sample 2950/4319...
2026-04-26 00:34:17 | INFO     | __main__ | Processing sample 3000/4319...
2026-04-26 00:37:53 | INFO     | __main__ | Processing sample 3050/4319...
2026-04-26 00:41:30 | INFO     | __main__ | Processing sample 3100/4319...
2026-04-26 00:45:08 | INFO     | __main__ | Processing sample 3150/4319...
2026-04-26 00:48:43 | INFO     | __main__ | Processing sample 3200/4319...
2026-04-26 00:52:17 | INFO     | __main__ | Processing sample 3250/4319...
2026-04-26 00:55:52 | INFO     | __main__ | Processing sample 3300/4319...
2026-04-26 00:59:27 | INFO     | __main__ | Processing sample 3350/4319...
2026-04-26 01:03:13 | INFO     | __main__ | Processing sample 3400/4319...
2026-04-26 01:06:44 | INFO     | __main__ | Processing sample 3450/4319...
2026-04-26 01:10:20 | INFO     | __main__ | Processing sample 3500/4319...
2026-04-26 01:13:56 | INFO     | __main__ | Processing sample 3550/4319...
2026-04-26 01:17:28 | INFO     | __main__ | Processing sample 3600/4319...
2026-04-26 01:21:02 | INFO     | __main__ | Processing sample 3650/4319...
2026-04-26 01:24:37 | INFO     | __main__ | Processing sample 3700/4319...
2026-04-26 01:28:14 | INFO     | __main__ | Processing sample 3750/4319...
2026-04-26 01:31:55 | INFO     | __main__ | Processing sample 3800/4319...
