2026-04-26 13:09:11 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-26 13:09:11 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-26 13:09:11 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-26 13:09:14 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-26 13:09:14 | INFO     | __main__ | === Identifiability Run: dataset=vizwiz, model=llava_vicuna, intervention=visual_ruined ===
2026-04-26 13:09:14 | INFO     | src.data.loaders.base | [VizWizLoader] Loaded 4319 samples (split=val)
2026-04-26 13:09:14 | INFO     | __main__ | Loaded 4319 samples.
2026-04-26 13:09:15 | INFO     | src.models.llava_vicuna | Loading LLaVA-1.6-Vicuna model: /home/models/llava-v1.6-vicuna-7b-hf
2026-04-26 13:09:15 | INFO     | src.models.llava_vicuna | Pinning model to cuda:0
2026-04-26 13:09:18 | INFO     | src.models.llava_vicuna | LLaVA-1.6-Vicuna loaded. model=/home/models/llava-v1.6-vicuna-7b-hf, device=cuda:0, dtype=float16
2026-04-26 13:09:18 | INFO     | __main__ | Model loaded.
2026-04-26 13:09:18 | INFO     | experiment.identifiability_visual_ruined_vizwiz_llava_vicuna | ExperimentLogger initialized: results/identifiability/visual_ruined/llava_vicuna/vizwiz.jsonl (experiment='identifiability_visual_ruined_vizwiz_llava_vicuna')
2026-04-26 13:09:18 | INFO     | __main__ | Processing sample 0/4319...
2026-04-26 13:13:02 | INFO     | __main__ | Processing sample 50/4319...
2026-04-26 13:16:43 | INFO     | __main__ | Processing sample 100/4319...
2026-04-26 13:20:34 | INFO     | __main__ | Processing sample 150/4319...
2026-04-26 13:24:23 | INFO     | __main__ | Processing sample 200/4319...
2026-04-26 13:28:07 | INFO     | __main__ | Processing sample 250/4319...
2026-04-26 13:31:51 | INFO     | __main__ | Processing sample 300/4319...
2026-04-26 13:35:31 | INFO     | __main__ | Processing sample 350/4319...
2026-04-26 13:39:15 | INFO     | __main__ | Processing sample 400/4319...
2026-04-26 13:42:56 | INFO     | __main__ | Processing sample 450/4319...
2026-04-26 13:46:39 | INFO     | __main__ | Processing sample 500/4319...
2026-04-26 13:50:21 | INFO     | __main__ | Processing sample 550/4319...
2026-04-26 13:54:07 | INFO     | __main__ | Processing sample 600/4319...
2026-04-26 13:57:52 | INFO     | __main__ | Processing sample 650/4319...
2026-04-26 14:01:30 | INFO     | __main__ | Processing sample 700/4319...
2026-04-26 14:05:14 | INFO     | __main__ | Processing sample 750/4319...
2026-04-26 14:09:00 | INFO     | __main__ | Processing sample 800/4319...
2026-04-26 14:12:45 | INFO     | __main__ | Processing sample 850/4319...
2026-04-26 14:16:28 | INFO     | __main__ | Processing sample 900/4319...
2026-04-26 14:20:08 | INFO     | __main__ | Processing sample 950/4319...
2026-04-26 14:23:54 | INFO     | __main__ | Processing sample 1000/4319...
2026-04-26 14:27:38 | INFO     | __main__ | Processing sample 1050/4319...
2026-04-26 14:31:20 | INFO     | __main__ | Processing sample 1100/4319...
2026-04-26 14:35:06 | INFO     | __main__ | Processing sample 1150/4319...
2026-04-26 14:38:50 | INFO     | __main__ | Processing sample 1200/4319...
2026-04-26 14:42:32 | INFO     | __main__ | Processing sample 1250/4319...
2026-04-26 14:46:15 | INFO     | __main__ | Processing sample 1300/4319...
2026-04-26 14:50:00 | INFO     | __main__ | Processing sample 1350/4319...
2026-04-26 14:53:41 | INFO     | __main__ | Processing sample 1400/4319...
2026-04-26 14:57:18 | INFO     | __main__ | Processing sample 1450/4319...
2026-04-26 15:01:03 | INFO     | __main__ | Processing sample 1500/4319...
2026-04-26 15:04:46 | INFO     | __main__ | Processing sample 1550/4319...
2026-04-26 15:08:29 | INFO     | __main__ | Processing sample 1600/4319...
2026-04-26 15:12:12 | INFO     | __main__ | Processing sample 1650/4319...
2026-04-26 15:16:00 | INFO     | __main__ | Processing sample 1700/4319...
2026-04-26 15:19:50 | INFO     | __main__ | Processing sample 1750/4319...
2026-04-26 15:23:34 | INFO     | __main__ | Processing sample 1800/4319...
2026-04-26 15:27:16 | INFO     | __main__ | Processing sample 1850/4319...
2026-04-26 15:31:03 | INFO     | __main__ | Processing sample 1900/4319...
2026-04-26 15:34:49 | INFO     | __main__ | Processing sample 1950/4319...
2026-04-26 15:38:31 | INFO     | __main__ | Processing sample 2000/4319...
2026-04-26 15:42:13 | INFO     | __main__ | Processing sample 2050/4319...
2026-04-26 15:45:59 | INFO     | __main__ | Processing sample 2100/4319...
2026-04-26 15:49:38 | INFO     | __main__ | Processing sample 2150/4319...
2026-04-26 15:53:26 | INFO     | __main__ | Processing sample 2200/4319...
2026-04-26 15:57:07 | INFO     | __main__ | Processing sample 2250/4319...
2026-04-26 16:00:47 | INFO     | __main__ | Processing sample 2300/4319...
2026-04-26 16:04:30 | INFO     | __main__ | Processing sample 2350/4319...
2026-04-26 16:08:11 | INFO     | __main__ | Processing sample 2400/4319...
2026-04-26 16:11:58 | INFO     | __main__ | Processing sample 2450/4319...
2026-04-26 16:15:41 | INFO     | __main__ | Processing sample 2500/4319...
2026-04-26 16:19:27 | INFO     | __main__ | Processing sample 2550/4319...
2026-04-26 16:23:10 | INFO     | __main__ | Processing sample 2600/4319...
2026-04-26 16:26:58 | INFO     | __main__ | Processing sample 2650/4319...
2026-04-26 16:30:41 | INFO     | __main__ | Processing sample 2700/4319...
2026-04-26 16:34:26 | INFO     | __main__ | Processing sample 2750/4319...
2026-04-26 16:38:06 | INFO     | __main__ | Processing sample 2800/4319...
2026-04-26 16:41:50 | INFO     | __main__ | Processing sample 2850/4319...
2026-04-26 16:45:33 | INFO     | __main__ | Processing sample 2900/4319...
2026-04-26 16:49:16 | INFO     | __main__ | Processing sample 2950/4319...
2026-04-26 16:53:01 | INFO     | __main__ | Processing sample 3000/4319...
2026-04-26 16:56:47 | INFO     | __main__ | Processing sample 3050/4319...
2026-04-26 17:00:32 | INFO     | __main__ | Processing sample 3100/4319...
2026-04-26 17:04:18 | INFO     | __main__ | Processing sample 3150/4319...
2026-04-26 17:08:04 | INFO     | __main__ | Processing sample 3200/4319...
2026-04-26 17:11:45 | INFO     | __main__ | Processing sample 3250/4319...
2026-04-26 17:15:28 | INFO     | __main__ | Processing sample 3300/4319...
2026-04-26 17:19:14 | INFO     | __main__ | Processing sample 3350/4319...
2026-04-26 17:23:04 | INFO     | __main__ | Processing sample 3400/4319...
2026-04-26 17:26:41 | INFO     | __main__ | Processing sample 3450/4319...
2026-04-26 17:30:24 | INFO     | __main__ | Processing sample 3500/4319...
2026-04-26 17:34:05 | INFO     | __main__ | Processing sample 3550/4319...
2026-04-26 17:37:44 | INFO     | __main__ | Processing sample 3600/4319...
2026-04-26 17:41:29 | INFO     | __main__ | Processing sample 3650/4319...
2026-04-26 17:45:09 | INFO     | __main__ | Processing sample 3700/4319...
2026-04-26 17:48:53 | INFO     | __main__ | Processing sample 3750/4319...
2026-04-26 17:52:39 | INFO     | __main__ | Processing sample 3800/4319...
2026-04-26 17:56:21 | INFO     | __main__ | Processing sample 3850/4319...
2026-04-26 18:00:01 | INFO     | __main__ | Processing sample 3900/4319...
2026-04-26 18:03:44 | INFO     | __main__ | Processing sample 3950/4319...
2026-04-26 18:07:26 | INFO     | __main__ | Processing sample 4000/4319...
2026-04-26 18:11:17 | INFO     | __main__ | Processing sample 4050/4319...
2026-04-26 18:14:56 | INFO     | __main__ | Processing sample 4100/4319...
2026-04-26 18:18:39 | INFO     | __main__ | Processing sample 4150/4319...
2026-04-26 18:22:20 | INFO     | __main__ | Processing sample 4200/4319...
2026-04-26 18:26:02 | INFO     | __main__ | Processing sample 4250/4319...
2026-04-26 18:29:52 | INFO     | __main__ | Processing sample 4300/4319...
2026-04-26 18:31:17 | INFO     | experiment.identifiability_visual_ruined_vizwiz_llava_vicuna | Experiment summary: {
  "dataset": "vizwiz",
  "model": "llava_vicuna",
  "intervention": "visual_ruined",
  "n_samples": 4319
}
2026-04-26 18:31:17 | INFO     | experiment.identifiability_visual_ruined_vizwiz_llava_vicuna | Summary saved to results/identifiability/visual_ruined/llava_vicuna/vizwiz.summary.json
2026-04-26 18:31:17 | INFO     | __main__ | Done. Results saved to: results/identifiability/visual_ruined/llava_vicuna/vizwiz.jsonl
