2026-04-26 19:31:29 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-26 19:31:29 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-26 19:31:29 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-26 19:31:32 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-26 19:31:32 | INFO     | __main__ | === Identifiability Run: dataset=pope, model=qwen_vl, intervention=visual_ruined ===
2026-04-26 19:31:32 | INFO     | src.data.loaders.base | [POPELoader] Loaded 9000 samples (split=all)
2026-04-26 19:31:32 | INFO     | __main__ | Loaded 9000 samples.
2026-04-26 19:31:32 | INFO     | src.models.qwen_vl | Loading Qwen3-VL model: /home/models/Qwen3-VL-8B-Instruct
2026-04-26 19:31:32 | INFO     | src.models.qwen_vl | Pinning model to cuda:0
2026-04-26 19:31:37 | INFO     | src.models.qwen_vl | Qwen3-VL loaded. model=/home/models/Qwen3-VL-8B-Instruct, device=cuda:0, dtype=bfloat16
2026-04-26 19:31:37 | INFO     | __main__ | Model loaded.
2026-04-26 19:31:37 | INFO     | experiment.identifiability_visual_ruined_pope_qwen_vl | ExperimentLogger initialized: results/identifiability/visual_ruined/qwen_vl/pope.jsonl (experiment='identifiability_visual_ruined_pope_qwen_vl')
2026-04-26 19:31:37 | INFO     | __main__ | Processing sample 0/9000...
2026-04-26 19:33:31 | INFO     | __main__ | Processing sample 50/9000...
2026-04-26 19:35:25 | INFO     | __main__ | Processing sample 100/9000...
2026-04-26 19:37:27 | INFO     | __main__ | Processing sample 150/9000...
2026-04-26 19:39:20 | INFO     | __main__ | Processing sample 200/9000...
2026-04-26 19:41:11 | INFO     | __main__ | Processing sample 250/9000...
2026-04-26 19:43:08 | INFO     | __main__ | Processing sample 300/9000...
2026-04-26 19:45:09 | INFO     | __main__ | Processing sample 350/9000...
2026-04-26 19:47:01 | INFO     | __main__ | Processing sample 400/9000...
2026-04-26 19:48:57 | INFO     | __main__ | Processing sample 450/9000...
2026-04-26 19:51:00 | INFO     | __main__ | Processing sample 500/9000...
2026-04-26 19:52:56 | INFO     | __main__ | Processing sample 550/9000...
2026-04-26 19:54:48 | INFO     | __main__ | Processing sample 600/9000...
2026-04-26 19:56:47 | INFO     | __main__ | Processing sample 650/9000...
2026-04-26 19:58:52 | INFO     | __main__ | Processing sample 700/9000...
2026-04-26 20:00:53 | INFO     | __main__ | Processing sample 750/9000...
2026-04-26 20:02:48 | INFO     | __main__ | Processing sample 800/9000...
2026-04-26 20:04:49 | INFO     | __main__ | Processing sample 850/9000...
2026-04-26 20:06:40 | INFO     | __main__ | Processing sample 900/9000...
2026-04-26 20:08:40 | INFO     | __main__ | Processing sample 950/9000...
