2026-04-27 01:38:42 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-27 01:38:42 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-27 01:38:42 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-27 01:38:45 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-27 01:38:45 | INFO     | __main__ | === Identifiability Run: dataset=vizwiz, model=qwen_vl, intervention=visual_ruined ===
2026-04-27 01:38:45 | INFO     | src.data.loaders.base | [VizWizLoader] Loaded 4319 samples (split=val)
2026-04-27 01:38:45 | INFO     | __main__ | Loaded 4319 samples.
2026-04-27 01:38:45 | INFO     | src.models.qwen_vl | Loading Qwen3-VL model: /home/models/Qwen3-VL-8B-Instruct
2026-04-27 01:38:45 | INFO     | src.models.qwen_vl | Pinning model to cuda:0
2026-04-27 01:38:50 | INFO     | src.models.qwen_vl | Qwen3-VL loaded. model=/home/models/Qwen3-VL-8B-Instruct, device=cuda:0, dtype=bfloat16
2026-04-27 01:38:50 | INFO     | __main__ | Model loaded.
2026-04-27 01:38:50 | INFO     | experiment.identifiability_visual_ruined_vizwiz_qwen_vl | ExperimentLogger initialized: results/identifiability/visual_ruined/qwen_vl/vizwiz.jsonl (experiment='identifiability_visual_ruined_vizwiz_qwen_vl')
2026-04-27 01:38:50 | INFO     | __main__ | Processing sample 0/4319...
2026-04-27 01:43:43 | INFO     | __main__ | Processing sample 50/4319...
2026-04-27 01:48:58 | INFO     | __main__ | Processing sample 100/4319...
2026-04-27 01:54:19 | INFO     | __main__ | Processing sample 150/4319...
2026-04-27 01:59:43 | INFO     | __main__ | Processing sample 200/4319...
2026-04-27 02:04:47 | INFO     | __main__ | Processing sample 250/4319...
2026-04-27 02:09:01 | INFO     | __main__ | Processing sample 300/4319...
2026-04-27 02:14:14 | INFO     | __main__ | Processing sample 350/4319...
2026-04-27 02:18:38 | INFO     | __main__ | Processing sample 400/4319...
2026-04-27 02:22:35 | INFO     | __main__ | Processing sample 450/4319...
2026-04-27 02:26:45 | INFO     | __main__ | Processing sample 500/4319...
2026-04-27 02:30:54 | INFO     | __main__ | Processing sample 550/4319...
2026-04-27 02:34:58 | INFO     | __main__ | Processing sample 600/4319...
2026-04-27 02:38:49 | INFO     | __main__ | Processing sample 650/4319...
2026-04-27 02:42:41 | INFO     | __main__ | Processing sample 700/4319...
2026-04-27 02:46:56 | INFO     | __main__ | Processing sample 750/4319...
2026-04-27 02:50:54 | INFO     | __main__ | Processing sample 800/4319...
2026-04-27 02:54:51 | INFO     | __main__ | Processing sample 850/4319...
2026-04-27 02:59:05 | INFO     | __main__ | Processing sample 900/4319...
2026-04-27 03:03:10 | INFO     | __main__ | Processing sample 950/4319...
2026-04-27 03:07:24 | INFO     | __main__ | Processing sample 1000/4319...
2026-04-27 03:11:43 | INFO     | __main__ | Processing sample 1050/4319...
2026-04-27 03:15:33 | INFO     | __main__ | Processing sample 1100/4319...
2026-04-27 03:20:03 | INFO     | __main__ | Processing sample 1150/4319...
2026-04-27 03:24:11 | INFO     | __main__ | Processing sample 1200/4319...
2026-04-27 03:28:08 | INFO     | __main__ | Processing sample 1250/4319...
2026-04-27 03:32:26 | INFO     | __main__ | Processing sample 1300/4319...
2026-04-27 03:36:28 | INFO     | __main__ | Processing sample 1350/4319...
2026-04-27 03:41:06 | INFO     | __main__ | Processing sample 1400/4319...
2026-04-27 03:45:15 | INFO     | __main__ | Processing sample 1450/4319...
2026-04-27 03:50:06 | INFO     | __main__ | Processing sample 1500/4319...
2026-04-27 03:54:24 | INFO     | __main__ | Processing sample 1550/4319...
2026-04-27 03:58:46 | INFO     | __main__ | Processing sample 1600/4319...
2026-04-27 04:02:55 | INFO     | __main__ | Processing sample 1650/4319...
2026-04-27 04:06:47 | INFO     | __main__ | Processing sample 1700/4319...
2026-04-27 04:11:48 | INFO     | __main__ | Processing sample 1750/4319...
2026-04-27 04:16:37 | INFO     | __main__ | Processing sample 1800/4319...
2026-04-27 04:21:01 | INFO     | __main__ | Processing sample 1850/4319...
2026-04-27 04:26:03 | INFO     | __main__ | Processing sample 1900/4319...
2026-04-27 04:29:59 | INFO     | __main__ | Processing sample 1950/4319...
2026-04-27 04:34:06 | INFO     | __main__ | Processing sample 2000/4319...
2026-04-27 04:39:02 | INFO     | __main__ | Processing sample 2050/4319...
2026-04-27 04:43:56 | INFO     | __main__ | Processing sample 2100/4319...
2026-04-27 04:48:09 | INFO     | __main__ | Processing sample 2150/4319...
2026-04-27 04:52:21 | INFO     | __main__ | Processing sample 2200/4319...
2026-04-27 04:56:12 | INFO     | __main__ | Processing sample 2250/4319...
2026-04-27 05:00:01 | INFO     | __main__ | Processing sample 2300/4319...
2026-04-27 05:04:28 | INFO     | __main__ | Processing sample 2350/4319...
2026-04-27 05:08:44 | INFO     | __main__ | Processing sample 2400/4319...
2026-04-27 05:13:14 | INFO     | __main__ | Processing sample 2450/4319...
2026-04-27 05:17:12 | INFO     | __main__ | Processing sample 2500/4319...
2026-04-27 05:21:30 | INFO     | __main__ | Processing sample 2550/4319...
2026-04-27 05:25:50 | INFO     | __main__ | Processing sample 2600/4319...
2026-04-27 05:30:41 | INFO     | __main__ | Processing sample 2650/4319...
2026-04-27 05:35:16 | INFO     | __main__ | Processing sample 2700/4319...
2026-04-27 05:39:20 | INFO     | __main__ | Processing sample 2750/4319...
2026-04-27 05:43:47 | INFO     | __main__ | Processing sample 2800/4319...
2026-04-27 05:47:58 | INFO     | __main__ | Processing sample 2850/4319...
2026-04-27 05:52:30 | INFO     | __main__ | Processing sample 2900/4319...
2026-04-27 05:56:43 | INFO     | __main__ | Processing sample 2950/4319...
2026-04-27 06:01:48 | INFO     | __main__ | Processing sample 3000/4319...
2026-04-27 06:05:55 | INFO     | __main__ | Processing sample 3050/4319...
2026-04-27 06:10:15 | INFO     | __main__ | Processing sample 3100/4319...
2026-04-27 06:14:50 | INFO     | __main__ | Processing sample 3150/4319...
2026-04-27 06:18:54 | INFO     | __main__ | Processing sample 3200/4319...
2026-04-27 06:22:49 | INFO     | __main__ | Processing sample 3250/4319...
2026-04-27 06:26:54 | INFO     | __main__ | Processing sample 3300/4319...
2026-04-27 06:30:57 | INFO     | __main__ | Processing sample 3350/4319...
2026-04-27 06:35:49 | INFO     | __main__ | Processing sample 3400/4319...
2026-04-27 06:39:59 | INFO     | __main__ | Processing sample 3450/4319...
2026-04-27 06:44:20 | INFO     | __main__ | Processing sample 3500/4319...
2026-04-27 06:48:35 | INFO     | __main__ | Processing sample 3550/4319...
2026-04-27 06:52:33 | INFO     | __main__ | Processing sample 3600/4319...
2026-04-27 06:56:24 | INFO     | __main__ | Processing sample 3650/4319...
2026-04-27 07:00:55 | INFO     | __main__ | Processing sample 3700/4319...
2026-04-27 07:05:45 | INFO     | __main__ | Processing sample 3750/4319...
2026-04-27 07:10:33 | INFO     | __main__ | Processing sample 3800/4319...
2026-04-27 07:15:40 | INFO     | __main__ | Processing sample 3850/4319...
2026-04-27 07:19:57 | INFO     | __main__ | Processing sample 3900/4319...
2026-04-27 07:24:22 | INFO     | __main__ | Processing sample 3950/4319...
2026-04-27 07:28:13 | INFO     | __main__ | Processing sample 4000/4319...
2026-04-27 07:32:32 | INFO     | __main__ | Processing sample 4050/4319...
2026-04-27 07:36:52 | INFO     | __main__ | Processing sample 4100/4319...
2026-04-27 07:40:56 | INFO     | __main__ | Processing sample 4150/4319...
2026-04-27 07:45:29 | INFO     | __main__ | Processing sample 4200/4319...
2026-04-27 07:50:38 | INFO     | __main__ | Processing sample 4250/4319...
2026-04-27 07:56:06 | INFO     | __main__ | Processing sample 4300/4319...
2026-04-27 07:58:17 | INFO     | experiment.identifiability_visual_ruined_vizwiz_qwen_vl | Experiment summary: {
  "dataset": "vizwiz",
  "model": "qwen_vl",
  "intervention": "visual_ruined",
  "n_samples": 4319
}
2026-04-27 07:58:17 | INFO     | experiment.identifiability_visual_ruined_vizwiz_qwen_vl | Summary saved to results/identifiability/visual_ruined/qwen_vl/vizwiz.summary.json
2026-04-27 07:58:17 | INFO     | __main__ | Done. Results saved to: results/identifiability/visual_ruined/qwen_vl/vizwiz.jsonl
