model,dataset,original_accuracy,matched_accuracy,generic_accuracy,matched_fix_rate,generic_fix_rate,matched_net,generic_net,n_total
gemma_vl,hallusionbench,0.6824395373291272,0.6887486855941115,0.6088328075709779,0.12582781456953643,0.09271523178807947,0.006309148264984227,-0.07360672975814932,951
gemma_vl,pope,0.8687777777777778,0.8625555555555555,0.8676666666666667,0.10160880609652836,0.11939034716342083,-0.006222222222222222,-0.0011111111111111111,9000
gemma_vl,vizwiz,0.5399398008798333,0.522111599907386,0.5177124334336652,0.07750377453447409,0.059386009058882736,-0.017828200972447326,-0.022227367446168093,4319
gemma_vl,vsr,0.7176470588235294,0.7147058823529412,0.7235294117647059,0.08333333333333333,0.22916666666666666,-0.0029411764705882353,0.0058823529411764705,340
llava_mistral,hallusionbench,0.5257623554153522,0.5383806519453207,0.508937960042061,0.1197339246119734,0.082039911308204,0.012618296529968454,-0.016824395373291272,951
llava_mistral,pope,0.8906666666666667,0.892,0.8875555555555555,0.08130081300813008,0.06808943089430894,0.0013333333333333333,-0.003111111111111111,9000
llava_mistral,vizwiz,0.5492012039824034,0.5181755035887937,0.4968742764528826,0.14278376990241398,0.1448382126348228,-0.03102570039360963,-0.05232692752952072,4319
llava_mistral,vsr,0.7029411764705882,0.7058823529411765,0.6882352941176471,0.0594059405940594,0.04950495049504951,0.0029411764705882353,-0.014705882352941176,340
llava_vicuna,hallusionbench,0.4773922187171398,0.5036803364879074,0.4794952681388013,0.13279678068410464,0.06438631790744467,0.026288117770767613,0.002103049421661409,951
llava_vicuna,pope,0.8858888888888888,0.8898888888888888,0.8913333333333333,0.1596884128529698,0.17721518987341772,0.004,0.0054444444444444445,9000
llava_vicuna,vizwiz,0.5390136605695763,0.5332252836304701,0.5438758971984256,0.09090909090909091,0.11451531893520844,-0.005788376939106275,0.004862236628849271,4319
llava_vicuna,vsr,0.5147058823529411,0.5264705882352941,0.5205882352941177,0.030303030303030304,0.012121212121212121,0.011764705882352941,0.0058823529411764705,340
qwen_vl,hallusionbench,0.7444794952681388,0.7434279705573081,0.7171398527865405,0.1646090534979424,0.08641975308641975,-0.0010515247108307045,-0.027339642481598318,951
qwen_vl,pope,0.8892222222222222,0.8793333333333333,0.8846666666666667,0.06720160481444333,0.06720160481444333,-0.009888888888888888,-0.004555555555555556,9000
qwen_vl,vizwiz,0.6126418152350082,0.5915721231766613,0.6050011576753879,0.06037059175134489,0.052002390914524806,-0.02106969205834684,-0.007640657559620283,4319
qwen_vl,vsr,0.8735294117647059,0.8764705882352941,0.7617647058823529,0.20930232558139536,0.18604651162790697,0.0029411764705882353,-0.11176470588235295,340
