2026-04-25 20:12:36 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-25 20:12:36 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-25 20:12:36 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-25 20:12:39 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-25 20:12:39 | INFO     | __main__ | === Matched Intervention Run: model=gemma_vl ===
2026-04-25 20:12:39 | INFO     | __main__ | Loading decomposition results from results/decomposition/gemma_vl/hallusionbench.jsonl
2026-04-25 20:12:39 | INFO     | __main__ | Loaded 951 decomposition results
2026-04-25 20:12:39 | INFO     | __main__ | Loading model: gemma_vl
2026-04-25 20:12:39 | INFO     | src.models.gemma_vl | Loading Gemma 4 model: /home/models/gemma-4-E4B-it
2026-04-25 20:12:39 | INFO     | src.models.gemma_vl | Pinning model to cuda:3
2026-04-25 20:14:05 | INFO     | src.models.gemma_vl | Gemma 4 loaded. model=/home/models/gemma-4-E4B-it, device=cuda:3, dtype=bfloat16
2026-04-25 20:14:05 | INFO     | __main__ | Model loaded.
2026-04-25 20:14:05 | INFO     | experiment.intervention_gemma_vl | ExperimentLogger initialized: results/intervention/gemma_vl/hallusionbench.jsonl (experiment='intervention_gemma_vl')
2026-04-25 20:14:05 | INFO     | __main__ | Processing sample 0/951...
2026-04-25 20:14:24 | INFO     | __main__ | Processing sample 50/951...
2026-04-25 20:14:42 | INFO     | __main__ | Processing sample 100/951...
2026-04-25 20:15:17 | INFO     | __main__ | Processing sample 150/951...
2026-04-25 20:16:04 | INFO     | __main__ | Processing sample 200/951...
2026-04-25 20:16:22 | INFO     | __main__ | Processing sample 250/951...
2026-04-25 20:16:46 | INFO     | __main__ | Processing sample 300/951...
2026-04-25 20:17:04 | INFO     | __main__ | Processing sample 350/951...
2026-04-25 20:17:23 | INFO     | __main__ | Processing sample 400/951...
2026-04-25 20:17:44 | INFO     | __main__ | Processing sample 450/951...
2026-04-25 20:18:03 | INFO     | __main__ | Processing sample 500/951...
2026-04-25 20:21:55 | INFO     | __main__ | Processing sample 550/951...
2026-04-25 20:28:05 | INFO     | __main__ | Processing sample 600/951...
2026-04-25 20:30:18 | INFO     | __main__ | Processing sample 650/951...
2026-04-25 20:30:41 | INFO     | __main__ | Processing sample 700/951...
2026-04-25 20:31:04 | INFO     | __main__ | Processing sample 750/951...
2026-04-25 20:31:26 | INFO     | __main__ | Processing sample 800/951...
2026-04-25 20:31:49 | INFO     | __main__ | Processing sample 850/951...
2026-04-25 20:32:15 | INFO     | __main__ | Processing sample 900/951...
2026-04-25 20:32:42 | INFO     | __main__ | Processing sample 950/951...
2026-04-25 20:32:43 | INFO     | experiment.intervention_gemma_vl | Experiment summary: {
  "model": "gemma_vl",
  "decomp_source": "results/decomposition/gemma_vl/hallusionbench.jsonl",
  "n_samples": 951
}
2026-04-25 20:32:43 | INFO     | experiment.intervention_gemma_vl | Summary saved to results/intervention/gemma_vl/hallusionbench.summary.json
2026-04-25 20:32:43 | INFO     | __main__ | Done. Results saved to: results/intervention/gemma_vl/hallusionbench.jsonl
