2026-04-25 20:32:46 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-25 20:32:46 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-25 20:32:46 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-25 20:32:50 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-25 20:32:50 | INFO     | __main__ | === Matched Intervention Run: model=gemma_vl ===
2026-04-25 20:32:50 | INFO     | __main__ | Loading decomposition results from results/decomposition/gemma_vl/pope.jsonl
2026-04-25 20:32:50 | INFO     | __main__ | Loaded 9000 decomposition results
2026-04-25 20:32:50 | INFO     | __main__ | Loading model: gemma_vl
2026-04-25 20:32:50 | INFO     | src.models.gemma_vl | Loading Gemma 4 model: /home/models/gemma-4-E4B-it
2026-04-25 20:32:50 | INFO     | src.models.gemma_vl | Pinning model to cuda:3
2026-04-25 20:32:57 | INFO     | src.models.gemma_vl | Gemma 4 loaded. model=/home/models/gemma-4-E4B-it, device=cuda:3, dtype=bfloat16
2026-04-25 20:32:57 | INFO     | __main__ | Model loaded.
2026-04-25 20:32:57 | INFO     | experiment.intervention_gemma_vl | ExperimentLogger initialized: results/intervention/gemma_vl/pope.jsonl (experiment='intervention_gemma_vl')
2026-04-25 20:32:57 | INFO     | __main__ | Processing sample 0/9000...
2026-04-25 20:33:20 | INFO     | __main__ | Processing sample 50/9000...
2026-04-25 20:33:43 | INFO     | __main__ | Processing sample 100/9000...
2026-04-25 20:34:06 | INFO     | __main__ | Processing sample 150/9000...
2026-04-25 20:34:29 | INFO     | __main__ | Processing sample 200/9000...
2026-04-25 20:34:52 | INFO     | __main__ | Processing sample 250/9000...
2026-04-25 20:35:16 | INFO     | __main__ | Processing sample 300/9000...
2026-04-25 20:35:39 | INFO     | __main__ | Processing sample 350/9000...
2026-04-25 20:36:01 | INFO     | __main__ | Processing sample 400/9000...
2026-04-25 20:36:24 | INFO     | __main__ | Processing sample 450/9000...
2026-04-25 20:36:48 | INFO     | __main__ | Processing sample 500/9000...
2026-04-25 20:37:13 | INFO     | __main__ | Processing sample 550/9000...
2026-04-25 20:37:35 | INFO     | __main__ | Processing sample 600/9000...
2026-04-25 20:37:58 | INFO     | __main__ | Processing sample 650/9000...
2026-04-25 20:38:21 | INFO     | __main__ | Processing sample 700/9000...
2026-04-25 20:38:44 | INFO     | __main__ | Processing sample 750/9000...
2026-04-25 20:39:06 | INFO     | __main__ | Processing sample 800/9000...
2026-04-25 20:39:28 | INFO     | __main__ | Processing sample 850/9000...
2026-04-25 20:39:50 | INFO     | __main__ | Processing sample 900/9000...
2026-04-25 20:40:13 | INFO     | __main__ | Processing sample 950/9000...
2026-04-25 20:40:37 | INFO     | __main__ | Processing sample 1000/9000...
2026-04-25 20:40:59 | INFO     | __main__ | Processing sample 1050/9000...
2026-04-25 20:41:21 | INFO     | __main__ | Processing sample 1100/9000...
2026-04-25 20:41:44 | INFO     | __main__ | Processing sample 1150/9000...
2026-04-25 20:42:06 | INFO     | __main__ | Processing sample 1200/9000...
2026-04-25 20:42:29 | INFO     | __main__ | Processing sample 1250/9000...
2026-04-25 20:42:55 | INFO     | __main__ | Processing sample 1300/9000...
2026-04-25 20:43:17 | INFO     | __main__ | Processing sample 1350/9000...
2026-04-25 20:43:41 | INFO     | __main__ | Processing sample 1400/9000...
2026-04-25 20:44:03 | INFO     | __main__ | Processing sample 1450/9000...
2026-04-25 20:44:27 | INFO     | __main__ | Processing sample 1500/9000...
2026-04-25 20:44:49 | INFO     | __main__ | Processing sample 1550/9000...
2026-04-25 20:45:12 | INFO     | __main__ | Processing sample 1600/9000...
2026-04-25 20:45:35 | INFO     | __main__ | Processing sample 1650/9000...
2026-04-25 20:45:59 | INFO     | __main__ | Processing sample 1700/9000...
2026-04-25 20:46:21 | INFO     | __main__ | Processing sample 1750/9000...
2026-04-25 20:46:45 | INFO     | __main__ | Processing sample 1800/9000...
2026-04-25 20:47:07 | INFO     | __main__ | Processing sample 1850/9000...
2026-04-25 20:47:30 | INFO     | __main__ | Processing sample 1900/9000...
2026-04-25 20:47:52 | INFO     | __main__ | Processing sample 1950/9000...
2026-04-25 20:48:16 | INFO     | __main__ | Processing sample 2000/9000...
2026-04-25 20:48:40 | INFO     | __main__ | Processing sample 2050/9000...
2026-04-25 20:49:02 | INFO     | __main__ | Processing sample 2100/9000...
2026-04-25 20:49:25 | INFO     | __main__ | Processing sample 2150/9000...
2026-04-25 20:49:48 | INFO     | __main__ | Processing sample 2200/9000...
2026-04-25 20:50:11 | INFO     | __main__ | Processing sample 2250/9000...
2026-04-25 20:50:34 | INFO     | __main__ | Processing sample 2300/9000...
2026-04-25 20:50:56 | INFO     | __main__ | Processing sample 2350/9000...
2026-04-25 20:51:19 | INFO     | __main__ | Processing sample 2400/9000...
2026-04-25 20:51:42 | INFO     | __main__ | Processing sample 2450/9000...
2026-04-25 20:52:05 | INFO     | __main__ | Processing sample 2500/9000...
2026-04-25 20:52:28 | INFO     | __main__ | Processing sample 2550/9000...
2026-04-25 20:52:52 | INFO     | __main__ | Processing sample 2600/9000...
2026-04-25 20:53:15 | INFO     | __main__ | Processing sample 2650/9000...
2026-04-25 20:53:39 | INFO     | __main__ | Processing sample 2700/9000...
2026-04-25 20:54:01 | INFO     | __main__ | Processing sample 2750/9000...
2026-04-25 20:54:23 | INFO     | __main__ | Processing sample 2800/9000...
2026-04-25 20:54:47 | INFO     | __main__ | Processing sample 2850/9000...
2026-04-25 20:55:09 | INFO     | __main__ | Processing sample 2900/9000...
2026-04-25 20:55:32 | INFO     | __main__ | Processing sample 2950/9000...
2026-04-25 20:55:55 | INFO     | __main__ | Processing sample 3000/9000...
2026-04-25 20:56:19 | INFO     | __main__ | Processing sample 3050/9000...
2026-04-25 20:56:43 | INFO     | __main__ | Processing sample 3100/9000...
2026-04-25 20:57:05 | INFO     | __main__ | Processing sample 3150/9000...
2026-04-25 20:57:28 | INFO     | __main__ | Processing sample 3200/9000...
2026-04-25 20:57:50 | INFO     | __main__ | Processing sample 3250/9000...
2026-04-25 20:58:13 | INFO     | __main__ | Processing sample 3300/9000...
2026-04-25 20:58:36 | INFO     | __main__ | Processing sample 3350/9000...
2026-04-25 20:58:59 | INFO     | __main__ | Processing sample 3400/9000...
2026-04-25 20:59:21 | INFO     | __main__ | Processing sample 3450/9000...
2026-04-25 20:59:44 | INFO     | __main__ | Processing sample 3500/9000...
2026-04-25 21:00:06 | INFO     | __main__ | Processing sample 3550/9000...
2026-04-25 21:00:30 | INFO     | __main__ | Processing sample 3600/9000...
2026-04-25 21:00:54 | INFO     | __main__ | Processing sample 3650/9000...
2026-04-25 21:01:17 | INFO     | __main__ | Processing sample 3700/9000...
2026-04-25 21:01:41 | INFO     | __main__ | Processing sample 3750/9000...
2026-04-25 21:02:03 | INFO     | __main__ | Processing sample 3800/9000...
2026-04-25 21:02:27 | INFO     | __main__ | Processing sample 3850/9000...
2026-04-25 21:02:50 | INFO     | __main__ | Processing sample 3900/9000...
2026-04-25 21:03:12 | INFO     | __main__ | Processing sample 3950/9000...
2026-04-25 21:03:34 | INFO     | __main__ | Processing sample 4000/9000...
2026-04-25 21:03:57 | INFO     | __main__ | Processing sample 4050/9000...
2026-04-25 21:04:21 | INFO     | __main__ | Processing sample 4100/9000...
2026-04-25 21:04:45 | INFO     | __main__ | Processing sample 4150/9000...
2026-04-25 21:05:08 | INFO     | __main__ | Processing sample 4200/9000...
2026-04-25 21:05:31 | INFO     | __main__ | Processing sample 4250/9000...
2026-04-25 21:05:56 | INFO     | __main__ | Processing sample 4300/9000...
2026-04-25 21:06:20 | INFO     | __main__ | Processing sample 4350/9000...
2026-04-25 21:06:43 | INFO     | __main__ | Processing sample 4400/9000...
2026-04-25 21:07:06 | INFO     | __main__ | Processing sample 4450/9000...
2026-04-25 21:07:29 | INFO     | __main__ | Processing sample 4500/9000...
2026-04-25 21:07:53 | INFO     | __main__ | Processing sample 4550/9000...
2026-04-25 21:08:16 | INFO     | __main__ | Processing sample 4600/9000...
2026-04-25 21:08:40 | INFO     | __main__ | Processing sample 4650/9000...
2026-04-25 21:09:03 | INFO     | __main__ | Processing sample 4700/9000...
2026-04-25 21:09:25 | INFO     | __main__ | Processing sample 4750/9000...
2026-04-25 21:09:48 | INFO     | __main__ | Processing sample 4800/9000...
2026-04-25 21:10:11 | INFO     | __main__ | Processing sample 4850/9000...
2026-04-25 21:10:35 | INFO     | __main__ | Processing sample 4900/9000...
2026-04-25 21:10:58 | INFO     | __main__ | Processing sample 4950/9000...
2026-04-25 21:11:22 | INFO     | __main__ | Processing sample 5000/9000...
2026-04-25 21:11:45 | INFO     | __main__ | Processing sample 5050/9000...
2026-04-25 21:12:08 | INFO     | __main__ | Processing sample 5100/9000...
2026-04-25 21:12:31 | INFO     | __main__ | Processing sample 5150/9000...
2026-04-25 21:12:55 | INFO     | __main__ | Processing sample 5200/9000...
2026-04-25 21:13:18 | INFO     | __main__ | Processing sample 5250/9000...
2026-04-25 21:13:44 | INFO     | __main__ | Processing sample 5300/9000...
2026-04-25 21:14:07 | INFO     | __main__ | Processing sample 5350/9000...
2026-04-25 21:14:30 | INFO     | __main__ | Processing sample 5400/9000...
2026-04-25 21:14:55 | INFO     | __main__ | Processing sample 5450/9000...
2026-04-25 21:15:17 | INFO     | __main__ | Processing sample 5500/9000...
2026-04-25 21:15:40 | INFO     | __main__ | Processing sample 5550/9000...
2026-04-25 21:16:03 | INFO     | __main__ | Processing sample 5600/9000...
2026-04-25 21:16:26 | INFO     | __main__ | Processing sample 5650/9000...
2026-04-25 21:16:50 | INFO     | __main__ | Processing sample 5700/9000...
2026-04-25 21:17:13 | INFO     | __main__ | Processing sample 5750/9000...
2026-04-25 21:17:37 | INFO     | __main__ | Processing sample 5800/9000...
2026-04-25 21:18:00 | INFO     | __main__ | Processing sample 5850/9000...
2026-04-25 21:18:24 | INFO     | __main__ | Processing sample 5900/9000...
2026-04-25 21:18:46 | INFO     | __main__ | Processing sample 5950/9000...
2026-04-25 21:19:10 | INFO     | __main__ | Processing sample 6000/9000...
2026-04-25 21:19:33 | INFO     | __main__ | Processing sample 6050/9000...
2026-04-25 21:19:57 | INFO     | __main__ | Processing sample 6100/9000...
2026-04-25 21:20:20 | INFO     | __main__ | Processing sample 6150/9000...
2026-04-25 21:20:44 | INFO     | __main__ | Processing sample 6200/9000...
2026-04-25 21:21:07 | INFO     | __main__ | Processing sample 6250/9000...
2026-04-25 21:21:29 | INFO     | __main__ | Processing sample 6300/9000...
