2026-04-25 11:55:59 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-25 11:55:59 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-25 11:55:59 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-25 11:56:02 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-25 11:56:02 | INFO     | __main__ | === Matched Intervention Run: model=llava_mistral ===
2026-04-25 11:56:02 | INFO     | __main__ | Loading decomposition results from results/decomposition/llava_mistral/vizwiz.jsonl
2026-04-25 11:56:02 | INFO     | __main__ | Loaded 4319 decomposition results
2026-04-25 11:56:02 | INFO     | __main__ | Loading model: llava_mistral
2026-04-25 11:56:02 | INFO     | src.models.llava_mistral | Loading LLaVA-1.6-Mistral model: /home/models/llava-v1.6-mistral-7b-hf
2026-04-25 11:56:02 | INFO     | src.models.llava_mistral | Pinning model to cuda:3
2026-04-25 11:56:07 | INFO     | src.models.llava_mistral | LLaVA-1.6-Mistral loaded. model=/home/models/llava-v1.6-mistral-7b-hf, device=cuda:3, dtype=float16
2026-04-25 11:56:07 | INFO     | __main__ | Model loaded.
2026-04-25 11:56:07 | INFO     | experiment.intervention_llava_mistral | ExperimentLogger initialized: results/intervention/llava_mistral/vizwiz.jsonl (experiment='intervention_llava_mistral')
2026-04-25 11:56:07 | INFO     | __main__ | Processing sample 0/4319...
2026-04-25 11:57:05 | INFO     | __main__ | Processing sample 50/4319...
2026-04-25 11:58:03 | INFO     | __main__ | Processing sample 100/4319...
2026-04-25 11:59:05 | INFO     | __main__ | Processing sample 150/4319...
2026-04-25 12:00:04 | INFO     | __main__ | Processing sample 200/4319...
2026-04-25 12:01:02 | INFO     | __main__ | Processing sample 250/4319...
2026-04-25 12:02:06 | INFO     | __main__ | Processing sample 300/4319...
2026-04-25 12:03:04 | INFO     | __main__ | Processing sample 350/4319...
2026-04-25 12:04:02 | INFO     | __main__ | Processing sample 400/4319...
2026-04-25 12:05:01 | INFO     | __main__ | Processing sample 450/4319...
2026-04-25 12:06:00 | INFO     | __main__ | Processing sample 500/4319...
2026-04-25 12:06:58 | INFO     | __main__ | Processing sample 550/4319...
2026-04-25 12:07:57 | INFO     | __main__ | Processing sample 600/4319...
2026-04-25 12:08:56 | INFO     | __main__ | Processing sample 650/4319...
2026-04-25 12:09:53 | INFO     | __main__ | Processing sample 700/4319...
2026-04-25 12:10:52 | INFO     | __main__ | Processing sample 750/4319...
2026-04-25 12:11:50 | INFO     | __main__ | Processing sample 800/4319...
2026-04-25 12:12:49 | INFO     | __main__ | Processing sample 850/4319...
2026-04-25 12:13:47 | INFO     | __main__ | Processing sample 900/4319...
2026-04-25 12:14:44 | INFO     | __main__ | Processing sample 950/4319...
2026-04-25 12:15:43 | INFO     | __main__ | Processing sample 1000/4319...
2026-04-25 12:16:45 | INFO     | __main__ | Processing sample 1050/4319...
2026-04-25 12:17:43 | INFO     | __main__ | Processing sample 1100/4319...
2026-04-25 12:18:41 | INFO     | __main__ | Processing sample 1150/4319...
2026-04-25 12:19:40 | INFO     | __main__ | Processing sample 1200/4319...
2026-04-25 12:20:38 | INFO     | __main__ | Processing sample 1250/4319...
2026-04-25 12:21:35 | INFO     | __main__ | Processing sample 1300/4319...
2026-04-25 12:22:32 | INFO     | __main__ | Processing sample 1350/4319...
2026-04-25 12:23:29 | INFO     | __main__ | Processing sample 1400/4319...
2026-04-25 12:24:26 | INFO     | __main__ | Processing sample 1450/4319...
2026-04-25 12:25:24 | INFO     | __main__ | Processing sample 1500/4319...
2026-04-25 12:26:21 | INFO     | __main__ | Processing sample 1550/4319...
2026-04-25 12:27:19 | INFO     | __main__ | Processing sample 1600/4319...
2026-04-25 12:28:17 | INFO     | __main__ | Processing sample 1650/4319...
2026-04-25 12:29:16 | INFO     | __main__ | Processing sample 1700/4319...
2026-04-25 12:30:14 | INFO     | __main__ | Processing sample 1750/4319...
2026-04-25 12:31:14 | INFO     | __main__ | Processing sample 1800/4319...
