2026-04-25 13:20:04 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-25 13:20:04 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-25 13:20:04 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-25 13:20:06 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-25 13:20:06 | INFO     | __main__ | === Matched Intervention Run: model=llava_vicuna ===
2026-04-25 13:20:06 | INFO     | __main__ | Loading decomposition results from results/decomposition/llava_vicuna/hallusionbench.jsonl
2026-04-25 13:20:06 | INFO     | __main__ | Loaded 951 decomposition results
2026-04-25 13:20:06 | INFO     | __main__ | Loading model: llava_vicuna
2026-04-25 13:20:07 | INFO     | src.models.llava_vicuna | Loading LLaVA-1.6-Vicuna model: /home/models/llava-v1.6-vicuna-7b-hf
2026-04-25 13:20:07 | INFO     | src.models.llava_vicuna | Pinning model to cuda:3
2026-04-25 13:21:39 | INFO     | src.models.llava_vicuna | LLaVA-1.6-Vicuna loaded. model=/home/models/llava-v1.6-vicuna-7b-hf, device=cuda:3, dtype=float16
2026-04-25 13:21:39 | INFO     | __main__ | Model loaded.
2026-04-25 13:21:39 | INFO     | experiment.intervention_llava_vicuna | ExperimentLogger initialized: results/intervention/llava_vicuna/hallusionbench.jsonl (experiment='intervention_llava_vicuna')
2026-04-25 13:21:39 | INFO     | __main__ | Processing sample 0/951...
2026-04-25 13:22:28 | INFO     | __main__ | Processing sample 50/951...
2026-04-25 13:23:17 | INFO     | __main__ | Processing sample 100/951...
2026-04-25 13:24:11 | INFO     | __main__ | Processing sample 150/951...
2026-04-25 13:24:53 | INFO     | __main__ | Processing sample 200/951...
2026-04-25 13:25:34 | INFO     | __main__ | Processing sample 250/951...
2026-04-25 13:26:21 | INFO     | __main__ | Processing sample 300/951...
2026-04-25 13:26:59 | INFO     | __main__ | Processing sample 350/951...
2026-04-25 13:27:43 | INFO     | __main__ | Processing sample 400/951...
2026-04-25 13:28:25 | INFO     | __main__ | Processing sample 450/951...
2026-04-25 13:29:10 | INFO     | __main__ | Processing sample 500/951...
2026-04-25 13:29:57 | INFO     | __main__ | Processing sample 550/951...
2026-04-25 13:30:43 | INFO     | __main__ | Processing sample 600/951...
2026-04-25 13:31:31 | INFO     | __main__ | Processing sample 650/951...
2026-04-25 13:32:15 | INFO     | __main__ | Processing sample 700/951...
2026-04-25 13:32:54 | INFO     | __main__ | Processing sample 750/951...
2026-04-25 13:33:34 | INFO     | __main__ | Processing sample 800/951...
2026-04-25 13:34:17 | INFO     | __main__ | Processing sample 850/951...
2026-04-25 13:34:53 | INFO     | __main__ | Processing sample 900/951...
2026-04-25 13:35:28 | INFO     | __main__ | Processing sample 950/951...
2026-04-25 13:35:29 | INFO     | experiment.intervention_llava_vicuna | Experiment summary: {
  "model": "llava_vicuna",
  "decomp_source": "results/decomposition/llava_vicuna/hallusionbench.jsonl",
  "n_samples": 951
}
2026-04-25 13:35:29 | INFO     | experiment.intervention_llava_vicuna | Summary saved to results/intervention/llava_vicuna/hallusionbench.summary.json
2026-04-25 13:35:29 | INFO     | __main__ | Done. Results saved to: results/intervention/llava_vicuna/hallusionbench.jsonl
