2026-04-25 17:34:49 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-25 17:34:49 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-25 17:34:49 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-25 17:34:51 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-25 17:34:51 | INFO     | __main__ | === Matched Intervention Run: model=qwen_vl ===
2026-04-25 17:34:51 | INFO     | __main__ | Loading decomposition results from results/decomposition/qwen_vl/pope.jsonl
2026-04-25 17:34:52 | INFO     | __main__ | Loaded 9000 decomposition results
2026-04-25 17:34:52 | INFO     | __main__ | Loading model: qwen_vl
2026-04-25 17:34:52 | INFO     | src.models.qwen_vl | Loading Qwen3-VL model: /home/models/Qwen3-VL-8B-Instruct
2026-04-25 17:34:52 | INFO     | src.models.qwen_vl | Pinning model to cuda:3
2026-04-25 17:34:56 | INFO     | src.models.qwen_vl | Qwen3-VL loaded. model=/home/models/Qwen3-VL-8B-Instruct, device=cuda:3, dtype=bfloat16
2026-04-25 17:34:56 | INFO     | __main__ | Model loaded.
2026-04-25 17:34:56 | INFO     | experiment.intervention_qwen_vl | ExperimentLogger initialized: results/intervention/qwen_vl/pope.jsonl (experiment='intervention_qwen_vl')
2026-04-25 17:34:56 | INFO     | __main__ | Processing sample 0/9000...
2026-04-25 17:35:12 | INFO     | __main__ | Processing sample 50/9000...
2026-04-25 17:35:28 | INFO     | __main__ | Processing sample 100/9000...
2026-04-25 17:35:44 | INFO     | __main__ | Processing sample 150/9000...
2026-04-25 17:35:59 | INFO     | __main__ | Processing sample 200/9000...
2026-04-25 17:36:14 | INFO     | __main__ | Processing sample 250/9000...
2026-04-25 17:36:30 | INFO     | __main__ | Processing sample 300/9000...
2026-04-25 17:36:47 | INFO     | __main__ | Processing sample 350/9000...
2026-04-25 17:37:04 | INFO     | __main__ | Processing sample 400/9000...
2026-04-25 17:37:19 | INFO     | __main__ | Processing sample 450/9000...
2026-04-25 17:37:36 | INFO     | __main__ | Processing sample 500/9000...
2026-04-25 17:37:53 | INFO     | __main__ | Processing sample 550/9000...
2026-04-25 17:38:08 | INFO     | __main__ | Processing sample 600/9000...
2026-04-25 17:38:25 | INFO     | __main__ | Processing sample 650/9000...
2026-04-25 17:38:42 | INFO     | __main__ | Processing sample 700/9000...
2026-04-25 17:38:59 | INFO     | __main__ | Processing sample 750/9000...
2026-04-25 17:39:14 | INFO     | __main__ | Processing sample 800/9000...
2026-04-25 17:39:30 | INFO     | __main__ | Processing sample 850/9000...
2026-04-25 17:39:46 | INFO     | __main__ | Processing sample 900/9000...
2026-04-25 17:40:02 | INFO     | __main__ | Processing sample 950/9000...
2026-04-25 17:40:18 | INFO     | __main__ | Processing sample 1000/9000...
2026-04-25 17:40:35 | INFO     | __main__ | Processing sample 1050/9000...
2026-04-25 17:40:51 | INFO     | __main__ | Processing sample 1100/9000...
2026-04-25 17:41:08 | INFO     | __main__ | Processing sample 1150/9000...
2026-04-25 17:41:25 | INFO     | __main__ | Processing sample 1200/9000...
2026-04-25 17:41:40 | INFO     | __main__ | Processing sample 1250/9000...
2026-04-25 17:41:56 | INFO     | __main__ | Processing sample 1300/9000...
2026-04-25 17:42:12 | INFO     | __main__ | Processing sample 1350/9000...
2026-04-25 17:42:30 | INFO     | __main__ | Processing sample 1400/9000...
2026-04-25 17:42:46 | INFO     | __main__ | Processing sample 1450/9000...
2026-04-25 17:43:03 | INFO     | __main__ | Processing sample 1500/9000...
2026-04-25 17:43:20 | INFO     | __main__ | Processing sample 1550/9000...
2026-04-25 17:43:36 | INFO     | __main__ | Processing sample 1600/9000...
2026-04-25 17:43:52 | INFO     | __main__ | Processing sample 1650/9000...
2026-04-25 17:44:08 | INFO     | __main__ | Processing sample 1700/9000...
2026-04-25 17:44:25 | INFO     | __main__ | Processing sample 1750/9000...
