2026-04-25 18:28:53 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-25 18:28:53 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-25 18:28:53 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-25 18:28:55 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-25 18:28:55 | INFO     | __main__ | === Matched Intervention Run: model=qwen_vl ===
2026-04-25 18:28:55 | INFO     | __main__ | Loading decomposition results from results/decomposition/qwen_vl/vizwiz.jsonl
2026-04-25 18:28:55 | INFO     | __main__ | Loaded 4319 decomposition results
2026-04-25 18:28:55 | INFO     | __main__ | Loading model: qwen_vl
2026-04-25 18:28:56 | INFO     | src.models.qwen_vl | Loading Qwen3-VL model: /home/models/Qwen3-VL-8B-Instruct
2026-04-25 18:28:56 | INFO     | src.models.qwen_vl | Pinning model to cuda:3
2026-04-25 18:29:00 | INFO     | src.models.qwen_vl | Qwen3-VL loaded. model=/home/models/Qwen3-VL-8B-Instruct, device=cuda:3, dtype=bfloat16
2026-04-25 18:29:00 | INFO     | __main__ | Model loaded.
2026-04-25 18:29:00 | INFO     | experiment.intervention_qwen_vl | ExperimentLogger initialized: results/intervention/qwen_vl/vizwiz.jsonl (experiment='intervention_qwen_vl')
2026-04-25 18:29:00 | INFO     | __main__ | Processing sample 0/4319...
2026-04-25 18:30:21 | INFO     | __main__ | Processing sample 50/4319...
2026-04-25 18:31:50 | INFO     | __main__ | Processing sample 100/4319...
2026-04-25 18:33:22 | INFO     | __main__ | Processing sample 150/4319...
2026-04-25 18:34:59 | INFO     | __main__ | Processing sample 200/4319...
2026-04-25 18:36:29 | INFO     | __main__ | Processing sample 250/4319...
2026-04-25 18:37:41 | INFO     | __main__ | Processing sample 300/4319...
2026-04-25 18:39:14 | INFO     | __main__ | Processing sample 350/4319...
2026-04-25 18:40:34 | INFO     | __main__ | Processing sample 400/4319...
2026-04-25 18:41:41 | INFO     | __main__ | Processing sample 450/4319...
